==== New Run: Sat Jul 26 20:49:28 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/26 20:49:28.106, 0 %, 0 MiB
==== New Run: Sat Jul 26 20:50:47 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/26 20:50:47.841, 0 %, 0 MiB
==== New Run: Sat Jul 26 21:30:30 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/26 21:30:30.913, 0 %, 0 MiB
==== New Run: Sat Jul 26 21:31:24 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/26 21:31:24.841, 0 %, 0 MiB
==== New Run: Sun Jul 27 12:03:25 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/27 12:03:25.429, 0 %, 0 MiB
2025/07/27 12:04:25.436, 0 %, 12069 MiB
2025/07/27 12:05:25.437, 96 %, 14247 MiB
2025/07/27 12:06:25.439, 91 %, 14247 MiB
2025/07/27 12:07:25.440, 93 %, 14247 MiB
2025/07/27 12:08:25.441, 92 %, 14247 MiB
2025/07/27 12:09:25.443, 93 %, 14247 MiB
2025/07/27 12:10:25.444, 89 %, 14247 MiB
2025/07/27 12:11:25.446, 87 %, 14247 MiB
2025/07/27 12:12:25.447, 87 %, 14247 MiB
2025/07/27 12:13:25.448, 87 %, 14247 MiB
2025/07/27 12:14:25.449, 89 %, 14247 MiB
2025/07/27 12:15:25.451, 89 %, 14247 MiB
2025/07/27 12:16:25.452, 89 %, 14247 MiB
2025/07/27 12:17:25.453, 89 %, 14247 MiB
2025/07/27 12:18:25.455, 89 %, 14247 MiB
2025/07/27 12:19:25.456, 84 %, 14249 MiB
2025/07/27 12:20:25.457, 85 %, 14249 MiB
2025/07/27 12:21:25.458, 83 %, 14249 MiB
2025/07/27 12:22:25.460, 83 %, 14249 MiB
2025/07/27 12:23:25.461, 83 %, 14249 MiB
2025/07/27 12:24:25.463, 83 %, 14249 MiB
2025/07/27 12:25:25.465, 83 %, 14249 MiB
2025/07/27 12:26:25.466, 85 %, 14249 MiB
2025/07/27 12:27:25.466, 83 %, 14249 MiB
2025/07/27 12:28:25.467, 82 %, 14249 MiB
2025/07/27 12:29:25.468, 80 %, 14249 MiB
2025/07/27 12:30:25.470, 82 %, 14249 MiB
2025/07/27 12:31:25.471, 82 %, 14249 MiB
2025/07/27 12:32:25.473, 79 %, 14249 MiB
2025/07/27 12:33:25.474, 79 %, 14249 MiB
2025/07/27 12:34:25.475, 81 %, 14249 MiB
2025/07/27 12:35:25.476, 82 %, 14249 MiB
2025/07/27 12:36:25.477, 82 %, 14249 MiB
2025/07/27 12:37:25.478, 82 %, 14249 MiB
2025/07/27 12:38:25.479, 82 %, 14249 MiB
2025/07/27 12:39:25.481, 78 %, 14249 MiB
2025/07/27 12:40:25.482, 79 %, 14249 MiB
2025/07/27 12:41:25.483, 77 %, 14249 MiB
2025/07/27 12:42:25.485, 88 %, 14289 MiB
2025/07/27 12:43:25.486, 88 %, 14289 MiB
2025/07/27 12:44:25.487, 89 %, 14289 MiB
2025/07/27 12:45:25.489, 87 %, 14289 MiB
2025/07/27 12:46:25.490, 87 %, 14289 MiB
2025/07/27 12:47:25.492, 88 %, 14289 MiB
2025/07/27 12:48:25.494, 86 %, 14289 MiB
2025/07/27 12:49:25.495, 88 %, 14289 MiB
2025/07/27 12:50:25.496, 88 %, 14289 MiB
2025/07/27 12:51:25.496, 87 %, 14289 MiB
2025/07/27 12:52:25.497, 87 %, 14289 MiB
2025/07/27 12:53:25.498, 87 %, 14289 MiB
2025/07/27 12:54:25.499, 87 %, 14289 MiB
2025/07/27 12:55:25.500, 87 %, 14289 MiB
2025/07/27 12:56:25.501, 87 %, 14289 MiB
2025/07/27 12:57:25.502, 87 %, 14289 MiB
2025/07/27 12:58:25.503, 87 %, 14289 MiB
2025/07/27 12:59:25.504, 86 %, 14289 MiB
2025/07/27 13:00:25.506, 88 %, 14289 MiB
2025/07/27 13:01:25.507, 88 %, 14289 MiB
