==== New Run: Thu Jul 31 23:56:57 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/31 23:56:57.996, 0 %, 210 MiB
2025/07/31 23:57:58.003, 0 %, 12312 MiB
2025/07/31 23:58:58.004, 0 %, 12320 MiB
2025/07/31 23:59:58.006, 0 %, 12323 MiB
2025/08/01 00:00:58.007, 0 %, 12323 MiB
2025/08/01 00:01:58.009, 0 %, 29689 MiB
2025/08/01 00:02:58.010, 100 %, 29430 MiB
2025/08/01 00:03:58.012, 99 %, 29344 MiB
2025/08/01 00:04:58.013, 99 %, 29344 MiB
2025/08/01 00:05:58.014, 98 %, 29344 MiB
2025/08/01 00:06:58.016, 98 %, 29336 MiB
2025/08/01 00:07:58.016, 98 %, 29336 MiB
2025/08/01 00:08:58.018, 98 %, 29334 MiB
2025/08/01 00:09:58.020, 98 %, 29398 MiB
2025/08/01 00:10:58.020, 97 %, 29398 MiB
2025/08/01 00:11:58.022, 98 %, 29418 MiB
2025/08/01 00:12:58.024, 97 %, 29418 MiB
2025/08/01 00:13:58.025, 96 %, 29418 MiB
2025/08/01 00:14:58.027, 97 %, 29399 MiB
2025/08/01 00:15:58.028, 96 %, 29399 MiB
2025/08/01 00:16:58.029, 95 %, 29407 MiB
2025/08/01 00:17:58.030, 0 %, 29681 MiB
2025/08/01 00:18:58.030, 0 %, 31428 MiB
2025/08/01 00:19:58.029, 84 %, 12885 MiB
2025/08/01 00:20:58.030, 91 %, 12885 MiB
2025/08/01 00:21:58.030, 89 %, 12969 MiB
2025/08/01 00:22:58.031, 82 %, 12969 MiB
2025/08/01 00:23:58.032, 89 %, 12969 MiB
2025/08/01 00:24:58.033, 89 %, 12969 MiB
2025/08/01 00:25:58.033, 89 %, 12969 MiB
2025/08/01 00:26:58.034, 89 %, 12960 MiB
2025/08/01 00:27:58.034, 89 %, 12960 MiB
2025/08/01 00:28:58.035, 89 %, 12960 MiB
2025/08/01 00:29:58.036, 89 %, 12960 MiB
2025/08/01 00:30:58.037, 88 %, 12956 MiB
2025/08/01 00:31:58.037, 88 %, 12956 MiB
2025/08/01 00:32:58.038, 89 %, 12956 MiB
2025/08/01 00:33:58.038, 89 %, 12956 MiB
2025/08/01 00:34:58.040, 88 %, 12956 MiB
2025/08/01 00:35:58.040, 89 %, 12956 MiB
2025/08/01 00:36:58.041, 89 %, 12956 MiB
2025/08/01 00:37:58.042, 89 %, 12956 MiB
2025/08/01 00:38:58.043, 87 %, 12979 MiB
2025/08/01 00:39:58.058, 88 %, 12969 MiB
2025/08/01 00:40:58.059, 89 %, 12969 MiB
2025/08/01 00:41:58.060, 86 %, 12969 MiB
2025/08/01 00:42:58.062, 87 %, 12979 MiB
2025/08/01 00:43:58.063, 90 %, 12969 MiB
2025/08/01 00:44:58.063, 92 %, 15471 MiB
2025/08/01 00:45:58.065, 100 %, 15471 MiB
2025/08/01 00:46:58.066, 90 %, 15471 MiB
2025/08/01 00:47:58.067, 91 %, 15471 MiB
2025/08/01 00:48:58.068, 92 %, 15471 MiB
2025/08/01 00:49:58.068, 91 %, 15471 MiB
2025/08/01 00:50:58.069, 89 %, 15471 MiB
2025/08/01 00:51:58.071, 91 %, 15463 MiB
2025/08/01 00:52:58.071, 90 %, 15462 MiB
2025/08/01 00:53:58.073, 92 %, 15462 MiB
2025/08/01 00:54:58.073, 90 %, 15462 MiB
2025/08/01 00:55:58.074, 90 %, 15462 MiB
2025/08/01 00:56:58.075, 100 %, 15462 MiB
2025/08/01 00:57:58.076, 90 %, 15462 MiB
2025/08/01 00:58:58.078, 89 %, 15458 MiB
2025/08/01 00:59:58.078, 88 %, 19256 MiB
2025/08/01 01:00:58.079, 87 %, 19256 MiB
2025/08/01 01:01:58.080, 99 %, 19256 MiB
2025/08/01 01:02:58.082, 87 %, 19256 MiB
2025/08/01 01:03:58.083, 87 %, 19256 MiB
2025/08/01 01:04:58.084, 87 %, 19256 MiB
2025/08/01 01:05:58.113, 87 %, 19256 MiB
2025/08/01 01:06:58.114, 86 %, 19256 MiB
2025/08/01 01:07:58.116, 86 %, 19256 MiB
2025/08/01 01:08:58.117, 89 %, 19256 MiB
2025/08/01 01:09:58.117, 87 %, 19256 MiB
2025/08/01 01:10:58.119, 100 %, 19256 MiB
2025/08/01 01:11:58.120, 88 %, 19256 MiB
2025/08/01 01:12:58.121, 88 %, 19256 MiB
2025/08/01 01:13:58.123, 88 %, 19256 MiB
2025/08/01 01:14:58.124, 86 %, 19256 MiB
2025/08/01 01:15:58.125, 87 %, 19256 MiB
2025/08/01 01:16:58.155, 90 %, 19256 MiB
2025/08/01 01:17:58.157, 86 %, 19269 MiB
2025/08/01 01:18:58.158, 88 %, 19279 MiB
2025/08/01 01:19:58.159, 87 %, 19269 MiB
