==== New Run: Sat Jul 26 20:49:31 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/26 20:49:31.482, 0 %, 0 MiB
==== New Run: Sat Jul 26 21:30:30 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/26 21:30:30.940, 0 %, 0 MiB
==== New Run: Sat Jul 26 21:31:24 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/26 21:31:24.867, 0 %, 0 MiB
==== New Run: Sun Jul 27 20:07:34 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/27 20:07:34.410, 0 %, 0 MiB
2025/07/27 20:08:34.431, 0 %, 17349 MiB
2025/07/27 20:09:34.432, 98 %, 20033 MiB
2025/07/27 20:10:34.433, 97 %, 20033 MiB
2025/07/27 20:11:34.435, 97 %, 20033 MiB
2025/07/27 20:12:34.437, 96 %, 20033 MiB
2025/07/27 20:13:34.438, 96 %, 20033 MiB
2025/07/27 20:14:34.439, 95 %, 20033 MiB
2025/07/27 20:15:34.440, 94 %, 20033 MiB
2025/07/27 20:16:34.441, 94 %, 20033 MiB
2025/07/27 20:17:34.443, 95 %, 20033 MiB
2025/07/27 20:18:34.445, 95 %, 20033 MiB
2025/07/27 20:19:34.446, 95 %, 20033 MiB
2025/07/27 20:20:34.448, 94 %, 20033 MiB
2025/07/27 20:21:34.450, 94 %, 20033 MiB
2025/07/27 20:22:34.451, 94 %, 20033 MiB
2025/07/27 20:23:34.452, 94 %, 20033 MiB
2025/07/27 20:24:34.454, 94 %, 20033 MiB
2025/07/27 20:25:34.455, 94 %, 20033 MiB
2025/07/27 20:26:34.456, 92 %, 20033 MiB
2025/07/27 20:27:34.458, 92 %, 20033 MiB
2025/07/27 20:28:34.460, 92 %, 20033 MiB
2025/07/27 20:29:34.461, 92 %, 20033 MiB
2025/07/27 20:30:34.462, 92 %, 20033 MiB
2025/07/27 20:31:34.463, 92 %, 20033 MiB
2025/07/27 20:32:34.464, 92 %, 20033 MiB
2025/07/27 20:33:34.465, 92 %, 20033 MiB
2025/07/27 20:34:34.466, 91 %, 20033 MiB
2025/07/27 20:35:34.468, 91 %, 20033 MiB
2025/07/27 20:36:34.469, 90 %, 20033 MiB
2025/07/27 20:37:34.471, 90 %, 20033 MiB
2025/07/27 20:38:34.472, 90 %, 20033 MiB
2025/07/27 20:39:34.473, 90 %, 20033 MiB
2025/07/27 20:40:34.474, 90 %, 20033 MiB
2025/07/27 20:41:34.476, 90 %, 20033 MiB
2025/07/27 20:42:34.477, 90 %, 20033 MiB
2025/07/27 20:43:34.478, 90 %, 20033 MiB
2025/07/27 20:44:34.479, 90 %, 20033 MiB
2025/07/27 20:45:34.480, 90 %, 20033 MiB
2025/07/27 20:46:34.482, 90 %, 20033 MiB
2025/07/27 20:47:34.483, 90 %, 20033 MiB
2025/07/27 20:48:34.484, 90 %, 20033 MiB
2025/07/27 20:49:34.485, 91 %, 20033 MiB
2025/07/27 20:50:34.486, 91 %, 20033 MiB
2025/07/27 20:51:34.487, 91 %, 20033 MiB
2025/07/27 20:52:34.489, 89 %, 20033 MiB
2025/07/27 20:53:34.491, 89 %, 20033 MiB
2025/07/27 20:54:34.492, 88 %, 20033 MiB
2025/07/27 20:55:34.493, 89 %, 20033 MiB
2025/07/27 20:56:34.494, 85 %, 20033 MiB
2025/07/27 20:57:34.496, 89 %, 20033 MiB
2025/07/27 20:58:34.497, 93 %, 20033 MiB
2025/07/27 20:59:34.498, 89 %, 20035 MiB
2025/07/27 21:00:34.499, 89 %, 20035 MiB
2025/07/27 21:01:34.501, 88 %, 20035 MiB
2025/07/27 21:02:34.502, 89 %, 20035 MiB
2025/07/27 21:03:34.504, 89 %, 20035 MiB
2025/07/27 21:04:34.505, 87 %, 20035 MiB
2025/07/27 21:05:34.507, 88 %, 20035 MiB
2025/07/27 21:06:34.508, 88 %, 20035 MiB
2025/07/27 21:07:34.510, 89 %, 20035 MiB
2025/07/27 21:08:34.511, 89 %, 20035 MiB
2025/07/27 21:09:34.512, 89 %, 20035 MiB
2025/07/27 21:10:34.514, 89 %, 20035 MiB
2025/07/27 21:11:34.515, 88 %, 20035 MiB
2025/07/27 21:12:34.517, 89 %, 20035 MiB
2025/07/27 21:13:34.518, 88 %, 20035 MiB
2025/07/27 21:14:34.520, 88 %, 20035 MiB
2025/07/27 21:15:34.522, 88 %, 20035 MiB
2025/07/27 21:16:34.524, 89 %, 20035 MiB
2025/07/27 21:17:34.525, 89 %, 20035 MiB
2025/07/27 21:18:34.527, 88 %, 20035 MiB
2025/07/27 21:19:34.529, 88 %, 20035 MiB
2025/07/27 21:20:34.530, 88 %, 20035 MiB
2025/07/27 21:21:34.532, 88 %, 20035 MiB
