==== New Run: Wed Aug  6 16:49:09 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/06 16:49:09.069, 0 %, 130 MiB
==== New Run: Fri Aug  8 09:44:26 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/08 09:44:26.377, 0 %, 130 MiB
2025/08/08 09:45:26.379, 0 %, 14456 MiB
2025/08/08 09:46:26.381, 0 %, 14456 MiB
2025/08/08 09:47:26.383, 0 %, 14456 MiB
2025/08/08 09:48:26.384, 0 %, 14456 MiB
2025/08/08 09:49:26.386, 100 %, 19732 MiB
2025/08/08 09:50:26.388, 94 %, 19738 MiB
2025/08/08 09:51:26.391, 93 %, 19738 MiB
2025/08/08 09:52:26.394, 93 %, 19738 MiB
2025/08/08 09:53:26.396, 93 %, 19738 MiB
2025/08/08 09:54:26.399, 93 %, 19738 MiB
2025/08/08 09:55:26.400, 90 %, 19738 MiB
2025/08/08 09:56:26.402, 90 %, 19738 MiB
2025/08/08 09:57:26.404, 90 %, 19738 MiB
2025/08/08 09:58:26.405, 90 %, 19738 MiB
2025/08/08 09:59:26.407, 90 %, 19738 MiB
2025/08/08 10:00:26.409, 90 %, 19738 MiB
2025/08/08 10:01:26.410, 90 %, 19738 MiB
2025/08/08 10:02:26.411, 90 %, 19738 MiB
2025/08/08 10:03:26.413, 90 %, 19738 MiB
2025/08/08 10:04:26.414, 89 %, 19738 MiB
2025/08/08 10:05:26.416, 89 %, 19738 MiB
2025/08/08 10:06:26.418, 89 %, 19740 MiB
2025/08/08 10:07:26.419, 89 %, 19740 MiB
2025/08/08 10:08:26.421, 89 %, 19740 MiB
2025/08/08 10:09:26.422, 87 %, 19740 MiB
2025/08/08 10:10:26.424, 89 %, 19740 MiB
2025/08/08 10:11:26.425, 89 %, 19740 MiB
2025/08/08 10:12:26.427, 87 %, 19740 MiB
2025/08/08 10:13:26.429, 87 %, 19740 MiB
2025/08/08 10:14:26.431, 88 %, 19740 MiB
2025/08/08 10:15:26.432, 89 %, 19740 MiB
2025/08/08 10:16:26.434, 89 %, 19740 MiB
