==== New Run:
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/25 12:41:08.959, 1 %, 0 MiB
2025/07/25 12:42:08.972, 0 %, 15033 MiB
2025/07/25 12:43:08.973, 0 %, 15033 MiB
2025/07/25 12:44:08.975, 0 %, 15033 MiB
2025/07/25 12:45:08.977, 0 %, 15033 MiB
2025/07/25 12:46:08.979, 0 %, 15033 MiB
2025/07/25 12:47:08.980, 0 %, 15033 MiB
2025/07/25 12:48:08.981, 0 %, 15033 MiB
2025/07/25 12:49:08.982, 100 %, 28537 MiB
2025/07/25 12:50:08.984, 97 %, 28597 MiB
2025/07/25 12:51:08.985, 97 %, 28597 MiB
2025/07/25 12:52:08.986, 95 %, 28597 MiB
2025/07/25 12:53:08.988, 94 %, 28597 MiB
2025/07/25 12:54:08.989, 94 %, 28597 MiB
2025/07/25 12:55:08.990, 94 %, 28597 MiB
2025/07/25 12:56:08.991, 94 %, 28597 MiB
2025/07/25 12:57:08.992, 94 %, 28597 MiB
2025/07/25 12:58:08.993, 94 %, 28597 MiB
2025/07/25 12:59:08.994, 94 %, 28597 MiB
2025/07/25 13:00:08.995, 93 %, 28597 MiB
2025/07/25 13:01:08.996, 93 %, 28597 MiB
2025/07/25 13:02:08.997, 93 %, 28597 MiB
2025/07/25 13:03:08.998, 93 %, 28597 MiB
2025/07/25 13:04:08.999, 93 %, 28597 MiB
2025/07/25 13:05:09.001, 93 %, 28597 MiB
2025/07/25 13:06:09.002, 93 %, 28597 MiB
2025/07/25 13:07:09.003, 93 %, 28597 MiB
2025/07/25 13:08:09.004, 93 %, 28597 MiB
2025/07/25 13:09:09.006, 92 %, 28597 MiB
2025/07/25 13:10:09.007, 92 %, 28597 MiB
2025/07/25 13:11:09.008, 92 %, 28597 MiB
2025/07/25 13:12:09.010, 92 %, 28597 MiB
2025/07/25 13:13:09.011, 92 %, 28597 MiB
2025/07/25 13:14:09.013, 90 %, 28597 MiB
2025/07/25 13:15:09.014, 90 %, 28597 MiB
2025/07/25 13:16:09.016, 90 %, 28597 MiB
2025/07/25 13:17:09.017, 90 %, 28597 MiB
2025/07/25 13:18:09.019, 90 %, 28597 MiB
2025/07/25 13:19:09.020, 89 %, 28597 MiB
2025/07/25 13:20:09.022, 89 %, 28597 MiB
2025/07/25 13:21:09.023, 89 %, 28597 MiB
2025/07/25 13:22:09.024, 0 %, 31295 MiB
2025/07/25 13:23:09.024, 90 %, 15231 MiB
2025/07/25 13:24:09.025, 89 %, 15231 MiB
2025/07/25 13:25:09.025, 90 %, 15231 MiB
2025/07/25 13:26:09.026, 90 %, 15231 MiB
2025/07/25 13:27:09.027, 89 %, 15231 MiB
2025/07/25 13:28:09.028, 89 %, 15231 MiB
2025/07/25 13:29:09.029, 89 %, 15231 MiB
2025/07/25 13:30:09.029, 89 %, 15231 MiB
2025/07/25 13:31:09.030, 89 %, 15231 MiB
2025/07/25 13:32:09.031, 89 %, 15231 MiB
2025/07/25 13:33:09.031, 88 %, 15231 MiB
2025/07/25 13:34:09.032, 89 %, 15231 MiB
2025/07/25 13:35:09.033, 89 %, 15231 MiB
2025/07/25 13:36:09.034, 89 %, 15231 MiB
2025/07/25 13:37:09.035, 89 %, 15231 MiB
2025/07/25 13:38:09.036, 89 %, 15231 MiB
2025/07/25 13:39:09.038, 89 %, 15231 MiB
2025/07/25 13:40:09.039, 89 %, 15231 MiB
2025/07/25 13:41:09.040, 89 %, 15231 MiB
2025/07/25 13:42:09.041, 89 %, 15231 MiB
2025/07/25 13:43:09.042, 89 %, 15231 MiB
2025/07/25 13:44:09.044, 88 %, 15231 MiB
2025/07/25 13:45:09.045, 89 %, 15231 MiB
2025/07/25 13:46:09.046, 89 %, 15231 MiB
2025/07/25 13:47:09.047, 89 %, 15231 MiB
2025/07/25 13:48:09.049, 89 %, 15231 MiB
2025/07/25 13:49:09.050, 89 %, 15231 MiB
2025/07/25 13:50:09.052, 89 %, 15231 MiB
2025/07/25 13:51:09.053, 89 %, 15231 MiB
2025/07/25 13:52:09.055, 89 %, 15231 MiB
2025/07/25 13:53:09.056, 88 %, 15231 MiB
2025/07/25 13:54:09.057, 89 %, 15231 MiB
2025/07/25 13:55:09.059, 88 %, 15231 MiB
2025/07/25 13:56:09.061, 89 %, 15231 MiB
2025/07/25 13:57:09.065, 88 %, 15231 MiB
2025/07/25 13:58:09.068, 89 %, 15231 MiB
2025/07/25 13:59:09.071, 89 %, 15231 MiB
2025/07/25 14:00:09.073, 89 %, 15231 MiB
2025/07/25 14:01:09.076, 89 %, 15231 MiB
2025/07/25 14:02:09.078, 88 %, 15231 MiB
2025/07/25 14:03:09.081, 88 %, 15231 MiB
2025/07/25 14:04:09.084, 90 %, 15231 MiB
2025/07/25 14:05:09.086, 89 %, 15231 MiB
2025/07/25 14:06:09.088, 89 %, 15231 MiB
2025/07/25 14:07:09.091, 89 %, 15231 MiB
2025/07/25 14:08:09.093, 89 %, 15231 MiB
2025/07/25 14:09:09.095, 88 %, 15231 MiB
2025/07/25 14:10:09.098, 89 %, 15231 MiB
2025/07/25 14:11:09.100, 89 %, 15231 MiB
2025/07/25 14:12:09.101, 89 %, 15231 MiB
2025/07/25 14:13:09.103, 89 %, 15231 MiB
2025/07/25 14:14:09.105, 89 %, 15231 MiB
2025/07/25 14:15:09.107, 89 %, 15231 MiB
2025/07/25 14:16:09.109, 88 %, 15231 MiB
2025/07/25 14:17:09.111, 89 %, 15231 MiB
2025/07/25 14:18:09.113, 89 %, 15231 MiB
2025/07/25 14:19:09.114, 89 %, 15231 MiB
2025/07/25 14:20:09.115, 88 %, 15231 MiB
2025/07/25 14:21:09.117, 89 %, 15231 MiB
2025/07/25 14:22:09.119, 89 %, 15231 MiB
2025/07/25 14:23:09.120, 89 %, 15231 MiB
2025/07/25 14:24:09.121, 88 %, 15231 MiB
2025/07/25 14:25:09.123, 89 %, 15231 MiB
2025/07/25 14:26:09.124, 88 %, 15231 MiB
2025/07/25 14:27:09.126, 88 %, 15231 MiB
2025/07/25 14:28:09.127, 89 %, 15231 MiB
2025/07/25 14:29:09.128, 88 %, 15231 MiB
2025/07/25 14:30:09.129, 89 %, 15231 MiB
2025/07/25 14:31:09.130, 89 %, 15231 MiB
2025/07/25 14:32:09.130, 89 %, 15231 MiB
2025/07/25 14:33:09.131, 89 %, 15231 MiB
2025/07/25 14:34:09.132, 89 %, 15231 MiB
2025/07/25 14:35:09.134, 89 %, 15231 MiB
2025/07/25 14:36:09.135, 89 %, 15231 MiB
2025/07/25 14:37:09.136, 89 %, 15231 MiB
2025/07/25 14:38:09.138, 89 %, 15231 MiB
2025/07/25 14:39:09.138, 89 %, 15231 MiB
2025/07/25 14:40:09.140, 89 %, 15231 MiB
2025/07/25 14:41:09.141, 89 %, 15231 MiB
2025/07/25 14:42:09.142, 90 %, 15231 MiB
2025/07/25 14:43:09.143, 89 %, 15231 MiB
2025/07/25 14:44:09.145, 90 %, 15555 MiB
2025/07/25 14:45:09.146, 91 %, 15555 MiB
2025/07/25 14:46:09.147, 90 %, 15555 MiB
2025/07/25 14:47:09.148, 90 %, 15555 MiB
2025/07/25 14:48:09.149, 90 %, 15555 MiB
2025/07/25 14:49:09.151, 90 %, 15555 MiB
2025/07/25 14:50:09.152, 90 %, 15555 MiB
2025/07/25 14:51:09.153, 90 %, 15555 MiB
2025/07/25 14:52:09.154, 90 %, 15555 MiB
2025/07/25 14:53:09.155, 90 %, 15555 MiB
2025/07/25 14:54:09.157, 90 %, 15555 MiB
2025/07/25 14:55:09.158, 90 %, 15555 MiB
2025/07/25 14:56:09.160, 90 %, 15555 MiB
2025/07/25 14:57:09.161, 90 %, 15555 MiB
2025/07/25 14:58:09.162, 90 %, 15555 MiB
2025/07/25 14:59:09.164, 89 %, 15555 MiB
2025/07/25 15:00:09.165, 90 %, 15555 MiB
2025/07/25 15:01:09.166, 90 %, 15555 MiB
2025/07/25 15:02:09.167, 90 %, 15555 MiB
2025/07/25 15:03:09.169, 90 %, 15615 MiB
2025/07/25 15:04:09.170, 90 %, 15615 MiB
2025/07/25 15:05:09.170, 90 %, 15615 MiB
2025/07/25 15:06:09.171, 93 %, 15615 MiB
2025/07/25 15:07:09.171, 90 %, 15615 MiB
2025/07/25 15:08:09.171, 90 %, 15615 MiB
2025/07/25 15:09:09.171, 90 %, 15615 MiB
2025/07/25 15:10:09.172, 90 %, 15615 MiB
2025/07/25 15:11:09.173, 90 %, 15615 MiB
2025/07/25 15:12:09.174, 90 %, 15615 MiB
2025/07/25 15:13:09.175, 89 %, 15615 MiB
2025/07/25 15:14:09.176, 90 %, 15615 MiB
2025/07/25 15:15:09.177, 90 %, 15615 MiB
2025/07/25 15:16:09.178, 90 %, 15615 MiB
2025/07/25 15:17:09.179, 90 %, 15615 MiB
