==== New Run: Sat Aug  9 12:13:54 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/09 12:13:54.159, 0 %, 130 MiB
2025/08/09 12:14:54.191, 0 %, 3636 MiB
2025/08/09 12:15:54.193, 0 %, 3636 MiB
2025/08/09 12:16:54.194, 0 %, 3636 MiB
2025/08/09 12:17:54.196, 0 %, 3636 MiB
2025/08/09 12:18:54.198, 0 %, 3636 MiB
2025/08/09 12:19:54.198, 0 %, 13606 MiB
2025/08/09 12:20:54.199, 91 %, 15968 MiB
2025/08/09 12:21:54.200, 88 %, 15968 MiB
2025/08/09 12:22:54.202, 88 %, 15968 MiB
2025/08/09 12:23:54.204, 87 %, 15968 MiB
2025/08/09 12:24:54.204, 88 %, 15968 MiB
2025/08/09 12:25:54.206, 96 %, 11042 MiB
2025/08/09 12:26:54.208, 91 %, 11042 MiB
2025/08/09 12:27:54.209, 0 %, 28708 MiB
2025/08/09 12:28:54.209, 83 %, 3752 MiB
2025/08/09 12:29:54.211, 83 %, 3752 MiB
2025/08/09 12:30:54.212, 83 %, 3752 MiB
2025/08/09 12:31:54.214, 0 %, 3752 MiB
2025/08/09 12:32:54.216, 80 %, 3754 MiB
2025/08/09 12:33:54.217, 81 %, 3754 MiB
2025/08/09 12:34:54.219, 81 %, 3754 MiB
2025/08/09 12:35:54.221, 78 %, 3754 MiB
2025/08/09 12:36:54.222, 81 %, 3754 MiB
2025/08/09 12:37:54.224, 82 %, 3754 MiB
2025/08/09 12:38:54.226, 81 %, 3754 MiB
2025/08/09 12:39:54.228, 79 %, 3754 MiB
2025/08/09 12:40:54.229, 80 %, 3754 MiB
2025/08/09 12:41:54.231, 82 %, 3754 MiB
2025/08/09 12:42:54.232, 80 %, 3754 MiB
2025/08/09 12:43:54.234, 82 %, 3754 MiB
2025/08/09 12:44:54.236, 82 %, 3754 MiB
2025/08/09 12:45:54.237, 82 %, 3754 MiB
2025/08/09 12:46:54.238, 83 %, 3754 MiB
2025/08/09 12:47:54.239, 80 %, 3754 MiB
2025/08/09 12:48:54.241, 83 %, 3896 MiB
2025/08/09 12:49:54.242, 82 %, 3950 MiB
2025/08/09 12:50:54.244, 82 %, 3950 MiB
2025/08/09 12:51:54.245, 83 %, 3950 MiB
2025/08/09 12:52:54.246, 82 %, 3950 MiB
2025/08/09 12:53:54.248, 85 %, 3950 MiB
2025/08/09 12:54:54.249, 83 %, 3950 MiB
2025/08/09 12:55:54.251, 83 %, 3950 MiB
2025/08/09 12:56:54.252, 83 %, 3950 MiB
2025/08/09 12:57:54.254, 83 %, 3950 MiB
2025/08/09 12:58:54.255, 83 %, 3950 MiB
2025/08/09 12:59:54.256, 83 %, 3950 MiB
2025/08/09 13:00:54.258, 83 %, 3950 MiB
2025/08/09 13:01:54.259, 83 %, 3950 MiB
2025/08/09 13:02:54.260, 83 %, 3950 MiB
2025/08/09 13:03:54.262, 83 %, 3950 MiB
2025/08/09 13:04:54.263, 83 %, 3950 MiB
2025/08/09 13:05:54.265, 83 %, 3950 MiB
2025/08/09 13:06:54.266, 83 %, 3950 MiB
2025/08/09 13:07:54.267, 83 %, 3950 MiB
2025/08/09 13:08:54.268, 83 %, 5066 MiB
2025/08/09 13:09:54.270, 84 %, 5066 MiB
2025/08/09 13:10:54.271, 82 %, 5066 MiB
2025/08/09 13:11:54.271, 84 %, 5066 MiB
2025/08/09 13:12:54.272, 84 %, 5066 MiB
2025/08/09 13:13:54.273, 83 %, 5066 MiB
2025/08/09 13:14:54.274, 83 %, 5066 MiB
2025/08/09 13:15:54.275, 83 %, 5066 MiB
2025/08/09 13:16:54.276, 83 %, 5066 MiB
2025/08/09 13:17:54.277, 84 %, 5066 MiB
2025/08/09 13:18:54.277, 83 %, 5066 MiB
2025/08/09 13:19:54.278, 83 %, 5066 MiB
2025/08/09 13:20:54.279, 83 %, 5066 MiB
2025/08/09 13:21:54.280, 83 %, 5066 MiB
2025/08/09 13:22:54.280, 83 %, 5066 MiB
2025/08/09 13:23:54.281, 83 %, 5066 MiB
2025/08/09 13:24:54.282, 82 %, 5066 MiB
2025/08/09 13:25:54.284, 84 %, 5066 MiB
2025/08/09 13:26:54.284, 84 %, 5066 MiB
2025/08/09 13:27:54.285, 84 %, 5066 MiB
2025/08/09 13:28:54.287, 84 %, 5066 MiB
2025/08/09 13:29:54.288, 84 %, 5066 MiB
2025/08/09 13:30:54.290, 84 %, 5066 MiB
2025/08/09 13:31:54.291, 84 %, 5066 MiB
2025/08/09 13:32:54.293, 84 %, 5066 MiB
2025/08/09 13:33:54.294, 83 %, 5066 MiB
2025/08/09 13:34:54.295, 84 %, 5066 MiB
2025/08/09 13:35:54.296, 84 %, 5066 MiB
2025/08/09 13:36:54.297, 83 %, 5066 MiB
2025/08/09 13:37:54.297, 84 %, 5066 MiB
2025/08/09 13:38:54.299, 83 %, 5066 MiB
2025/08/09 13:39:54.300, 84 %, 5066 MiB
2025/08/09 13:40:54.301, 84 %, 5066 MiB
2025/08/09 13:41:54.302, 84 %, 5066 MiB
2025/08/09 13:42:54.303, 84 %, 5066 MiB
2025/08/09 13:43:54.307, 84 %, 5066 MiB
2025/08/09 13:44:54.308, 83 %, 5066 MiB
2025/08/09 13:45:54.309, 84 %, 5066 MiB
2025/08/09 13:46:54.310, 84 %, 5066 MiB
2025/08/09 13:47:54.312, 84 %, 5066 MiB
2025/08/09 13:48:54.313, 84 %, 5066 MiB
2025/08/09 13:49:54.314, 83 %, 5066 MiB
2025/08/09 13:50:54.316, 83 %, 5066 MiB
2025/08/09 13:51:54.317, 84 %, 5066 MiB
2025/08/09 13:52:54.319, 84 %, 5066 MiB
2025/08/09 13:53:54.319, 83 %, 5066 MiB
2025/08/09 13:54:54.321, 84 %, 5066 MiB
2025/08/09 13:55:54.322, 84 %, 5066 MiB
