==== New Run: Thu Jul 31 10:26:37 PM KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/31 22:26:37.553, 0 %, 474 MiB
==== New Run: Thu Jul 31 10:34:19 PM KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/31 22:34:19.998, 0 %, 478 MiB
==== New Run: Thu Jul 31 10:59:23 PM KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/31 22:59:23.410, 0 %, 429 MiB
==== New Run: Thu Jul 31 11:03:51 PM KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/31 23:03:51.430, 0 %, 487 MiB
==== New Run: Thu Jul 31 11:06:39 PM KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/31 23:06:39.388, 0 %, 492 MiB
==== New Run: Thu Jul 31 11:09:49 PM KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/31 23:09:49.691, 0 %, 465 MiB
2025/07/31 23:10:49.692, 4 %, 15522 MiB
==== New Run: Fri Aug  1 04:25:21 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/01 04:25:21.487, 0 %, 204 MiB
2025/08/01 04:26:21.490, 0 %, 15258 MiB
2025/08/01 04:27:21.491, 0 %, 15258 MiB
2025/08/01 04:28:21.496, 0 %, 15258 MiB
2025/08/01 04:29:21.498, 0 %, 15258 MiB
2025/08/01 04:30:21.499, 0 %, 15258 MiB
2025/08/01 04:31:21.501, 100 %, 30556 MiB
2025/08/01 04:32:21.502, 97 %, 29100 MiB
2025/08/01 04:33:21.504, 96 %, 29100 MiB
2025/08/01 04:34:21.506, 96 %, 29100 MiB
2025/08/01 04:35:21.507, 95 %, 29100 MiB
2025/08/01 04:36:21.509, 95 %, 29100 MiB
2025/08/01 04:37:21.511, 95 %, 29100 MiB
2025/08/01 04:38:21.512, 95 %, 29100 MiB
2025/08/01 04:39:21.513, 95 %, 29100 MiB
2025/08/01 04:40:21.515, 95 %, 29100 MiB
2025/08/01 04:41:21.516, 95 %, 29100 MiB
2025/08/01 04:42:21.518, 94 %, 29100 MiB
2025/08/01 04:43:21.521, 94 %, 29100 MiB
2025/08/01 04:44:21.523, 94 %, 29100 MiB
2025/08/01 04:45:21.524, 94 %, 29100 MiB
2025/08/01 04:46:21.548, 94 %, 29100 MiB
2025/08/01 04:47:21.548, 94 %, 29100 MiB
2025/08/01 04:48:21.549, 94 %, 29100 MiB
2025/08/01 04:49:21.551, 93 %, 29100 MiB
2025/08/01 04:50:21.553, 94 %, 29100 MiB
2025/08/01 04:51:21.554, 94 %, 29100 MiB
2025/08/01 04:52:21.555, 94 %, 29100 MiB
2025/08/01 04:53:21.556, 94 %, 29100 MiB
2025/08/01 04:54:21.557, 94 %, 29100 MiB
2025/08/01 04:55:21.557, 94 %, 29100 MiB
2025/08/01 04:56:21.558, 94 %, 29100 MiB
2025/08/01 04:57:21.559, 94 %, 29100 MiB
2025/08/01 04:58:21.559, 93 %, 29100 MiB
2025/08/01 04:59:21.560, 92 %, 29100 MiB
2025/08/01 05:00:21.561, 91 %, 29100 MiB
2025/08/01 05:01:21.562, 91 %, 29100 MiB
2025/08/01 05:02:21.563, 91 %, 29100 MiB
2025/08/01 05:03:21.564, 91 %, 29100 MiB
2025/08/01 05:04:21.565, 91 %, 29100 MiB
2025/08/01 05:05:21.566, 90 %, 29100 MiB
2025/08/01 05:06:21.568, 90 %, 29100 MiB
2025/08/01 05:07:21.568, 90 %, 29100 MiB
2025/08/01 05:08:21.569, 0 %, 15828 MiB
2025/08/01 05:09:21.570, 92 %, 15432 MiB
2025/08/01 05:10:21.572, 92 %, 15434 MiB
2025/08/01 05:11:21.573, 91 %, 15440 MiB
2025/08/01 05:12:21.574, 92 %, 15442 MiB
2025/08/01 05:13:21.575, 92 %, 15442 MiB
2025/08/01 05:14:21.576, 91 %, 15442 MiB
2025/08/01 05:15:21.578, 91 %, 15442 MiB
2025/08/01 05:16:21.579, 91 %, 15442 MiB
2025/08/01 05:17:21.579, 91 %, 15442 MiB
2025/08/01 05:18:21.580, 92 %, 15442 MiB
2025/08/01 05:19:21.581, 90 %, 15444 MiB
2025/08/01 05:20:21.582, 90 %, 15444 MiB
2025/08/01 05:21:21.583, 91 %, 15444 MiB
2025/08/01 05:22:21.584, 91 %, 15444 MiB
2025/08/01 05:23:21.586, 91 %, 15444 MiB
2025/08/01 05:24:21.587, 90 %, 15444 MiB
2025/08/01 05:25:21.588, 90 %, 15444 MiB
2025/08/01 05:26:21.589, 92 %, 15444 MiB
2025/08/01 05:27:21.590, 90 %, 15444 MiB
2025/08/01 05:28:21.592, 89 %, 15444 MiB
2025/08/01 05:29:21.624, 89 %, 15444 MiB
2025/08/01 05:30:21.625, 90 %, 15444 MiB
2025/08/01 05:31:21.626, 91 %, 15444 MiB
2025/08/01 05:32:21.628, 91 %, 15444 MiB
2025/08/01 05:33:21.629, 91 %, 15444 MiB
2025/08/01 05:34:21.630, 88 %, 15444 MiB
2025/08/01 05:35:21.631, 89 %, 15444 MiB
2025/08/01 05:36:21.631, 87 %, 15444 MiB
2025/08/01 05:37:21.633, 91 %, 15444 MiB
2025/08/01 05:38:21.633, 91 %, 15444 MiB
2025/08/01 05:39:21.634, 91 %, 15444 MiB
2025/08/01 05:40:21.650, 90 %, 15444 MiB
2025/08/01 05:41:21.651, 90 %, 15444 MiB
2025/08/01 05:42:21.652, 90 %, 15444 MiB
2025/08/01 05:43:21.653, 90 %, 15444 MiB
2025/08/01 05:44:21.654, 89 %, 15444 MiB
2025/08/01 05:45:21.655, 90 %, 15444 MiB
2025/08/01 05:46:21.656, 91 %, 15444 MiB
2025/08/01 05:47:21.657, 91 %, 15444 MiB
2025/08/01 05:48:21.658, 90 %, 15444 MiB
2025/08/01 05:49:21.660, 90 %, 15444 MiB
2025/08/01 05:50:21.661, 90 %, 15444 MiB
2025/08/01 05:51:21.662, 92 %, 15444 MiB
2025/08/01 05:52:21.663, 90 %, 15444 MiB
2025/08/01 05:53:21.665, 91 %, 15742 MiB
2025/08/01 05:54:21.666, 91 %, 15742 MiB
2025/08/01 05:55:21.667, 91 %, 15742 MiB
2025/08/01 05:56:21.668, 91 %, 15742 MiB
2025/08/01 05:57:21.669, 91 %, 15742 MiB
2025/08/01 05:58:21.670, 91 %, 15742 MiB
2025/08/01 05:59:21.671, 91 %, 15742 MiB
2025/08/01 06:00:21.672, 91 %, 15742 MiB
2025/08/01 06:01:21.672, 91 %, 15742 MiB
2025/08/01 06:02:21.673, 91 %, 15742 MiB
2025/08/01 06:03:21.674, 91 %, 15742 MiB
2025/08/01 06:04:21.675, 91 %, 15742 MiB
2025/08/01 06:05:21.676, 91 %, 15742 MiB
2025/08/01 06:06:21.677, 91 %, 15742 MiB
