==== New Run: Tue Aug  5 12:49:59 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/05 12:49:59.919, 0 %, 130 MiB
2025/08/05 12:50:59.937, 0 %, 15184 MiB
2025/08/05 12:51:59.938, 0 %, 15184 MiB
==== New Run: Tue Aug  5 12:53:02 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/05 12:53:02.623, 0 %, 130 MiB
==== New Run: Tue Aug  5 12:56:22 KST 2025 ====
batch size 3
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/05 12:56:22.063, 0 %, 130 MiB
2025/08/05 12:57:22.083, 0 %, 15184 MiB
2025/08/05 12:58:22.085, 0 %, 15184 MiB
2025/08/05 12:59:22.087, 0 %, 15184 MiB
2025/08/05 13:00:22.088, 0 %, 15184 MiB
2025/08/05 13:01:22.090, 100 %, 28966 MiB
2025/08/05 13:02:22.092, 97 %, 29026 MiB
2025/08/05 13:03:22.094, 96 %, 29026 MiB
2025/08/05 13:04:22.095, 96 %, 29026 MiB
2025/08/05 13:05:22.097, 95 %, 29026 MiB
2025/08/05 13:06:22.099, 95 %, 29026 MiB
2025/08/05 13:07:22.101, 94 %, 29026 MiB
2025/08/05 13:08:22.103, 94 %, 29026 MiB
2025/08/05 13:09:22.104, 95 %, 29026 MiB
2025/08/05 13:10:22.106, 94 %, 29026 MiB
2025/08/05 13:11:22.107, 94 %, 29026 MiB
2025/08/05 13:12:22.109, 94 %, 29026 MiB
2025/08/05 13:13:22.110, 94 %, 29026 MiB
2025/08/05 13:14:22.112, 94 %, 29026 MiB
2025/08/05 13:15:22.114, 94 %, 29026 MiB
2025/08/05 13:16:22.115, 94 %, 29026 MiB
2025/08/05 13:17:22.117, 94 %, 29026 MiB
2025/08/05 13:18:22.119, 94 %, 29026 MiB
2025/08/05 13:19:22.120, 93 %, 29026 MiB
2025/08/05 13:20:22.121, 94 %, 29026 MiB
2025/08/05 13:21:22.122, 93 %, 29026 MiB
2025/08/05 13:22:22.127, 94 %, 29026 MiB
2025/08/05 13:23:22.129, 94 %, 29026 MiB
2025/08/05 13:24:22.130, 94 %, 29026 MiB
2025/08/05 13:25:22.131, 93 %, 29026 MiB
2025/08/05 13:26:22.132, 94 %, 29026 MiB
2025/08/05 13:27:22.133, 93 %, 29026 MiB
2025/08/05 13:28:22.134, 94 %, 29026 MiB
2025/08/05 13:29:22.135, 91 %, 29026 MiB
2025/08/05 13:30:22.136, 90 %, 29026 MiB
2025/08/05 13:31:22.137, 86 %, 29026 MiB
2025/08/05 13:32:22.138, 91 %, 29026 MiB
2025/08/05 13:33:22.138, 91 %, 29026 MiB
2025/08/05 13:34:22.139, 91 %, 29026 MiB
2025/08/05 13:35:22.140, 90 %, 29026 MiB
2025/08/05 13:36:22.141, 90 %, 29026 MiB
2025/08/05 13:37:22.142, 90 %, 29026 MiB
2025/08/05 13:38:22.144, 85 %, 29030 MiB
2025/08/05 13:39:22.145, 90 %, 29030 MiB
2025/08/05 13:40:22.145, 90 %, 29030 MiB
2025/08/05 13:41:22.146, 90 %, 29030 MiB
2025/08/05 13:42:22.148, 90 %, 29030 MiB
==== New Run: Tue Aug  5 13:43:09 KST 2025 ====
batch size 2
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/05 13:43:09.791, 0 %, 130 MiB
2025/08/05 13:44:09.810, 0 %, 15184 MiB
2025/08/05 13:45:09.811, 0 %, 15184 MiB
2025/08/05 13:46:09.813, 0 %, 15184 MiB
2025/08/05 13:47:09.813, 0 %, 15184 MiB
2025/08/05 13:48:09.815, 100 %, 28966 MiB
2025/08/05 13:49:09.815, 96 %, 29026 MiB
2025/08/05 13:50:09.817, 96 %, 29026 MiB
2025/08/05 13:51:09.818, 95 %, 29026 MiB
2025/08/05 13:52:09.818, 95 %, 29026 MiB
2025/08/05 13:53:09.820, 94 %, 29026 MiB
2025/08/05 13:54:09.821, 94 %, 29026 MiB
2025/08/05 13:55:09.822, 94 %, 29026 MiB
2025/08/05 13:56:09.824, 95 %, 29026 MiB
2025/08/05 13:57:09.825, 94 %, 29026 MiB
2025/08/05 13:58:09.827, 93 %, 29026 MiB
2025/08/05 13:59:09.828, 94 %, 29026 MiB
2025/08/05 14:00:09.830, 94 %, 29026 MiB
2025/08/05 14:01:09.831, 94 %, 29026 MiB
2025/08/05 14:02:09.833, 94 %, 29026 MiB
2025/08/05 14:03:09.834, 94 %, 29026 MiB
2025/08/05 14:04:09.835, 94 %, 29026 MiB
2025/08/05 14:05:09.836, 94 %, 29026 MiB
2025/08/05 14:06:09.838, 94 %, 29026 MiB
2025/08/05 14:07:09.838, 94 %, 29026 MiB
2025/08/05 14:08:09.839, 94 %, 29026 MiB
2025/08/05 14:09:09.839, 94 %, 29026 MiB
2025/08/05 14:10:09.840, 94 %, 29026 MiB
2025/08/05 14:11:09.840, 94 %, 29026 MiB
2025/08/05 14:12:09.841, 94 %, 29026 MiB
2025/08/05 14:13:09.842, 94 %, 29026 MiB
2025/08/05 14:14:09.842, 94 %, 29026 MiB
2025/08/05 14:15:09.843, 94 %, 29026 MiB
2025/08/05 14:16:09.844, 91 %, 29026 MiB
2025/08/05 14:17:09.845, 91 %, 29026 MiB
2025/08/05 14:18:09.846, 91 %, 29026 MiB
2025/08/05 14:19:09.846, 91 %, 29026 MiB
2025/08/05 14:20:09.847, 91 %, 29026 MiB
2025/08/05 14:21:09.847, 91 %, 29026 MiB
2025/08/05 14:22:09.848, 90 %, 29026 MiB
2025/08/05 14:23:09.848, 90 %, 29026 MiB
2025/08/05 14:24:09.849, 90 %, 29026 MiB
2025/08/05 14:25:09.851, 86 %, 29028 MiB
2025/08/05 14:26:09.851, 91 %, 29028 MiB
2025/08/05 14:27:09.853, 85 %, 29028 MiB
2025/08/05 14:28:09.853, 91 %, 29028 MiB
2025/08/05 14:29:09.854, 91 %, 29028 MiB
2025/08/05 14:30:09.855, 91 %, 29028 MiB
2025/08/05 14:31:09.855, 91 %, 29028 MiB
2025/08/05 14:32:09.856, 92 %, 29028 MiB
2025/08/05 14:33:09.857, 91 %, 29028 MiB
2025/08/05 14:34:09.858, 92 %, 29028 MiB
2025/08/05 14:35:09.859, 91 %, 29028 MiB
2025/08/05 14:36:09.860, 90 %, 29028 MiB
2025/08/05 14:37:09.861, 91 %, 29028 MiB
2025/08/05 14:38:09.862, 91 %, 29028 MiB
2025/08/05 14:39:09.863, 90 %, 29028 MiB
2025/08/05 14:40:09.864, 91 %, 29028 MiB
2025/08/05 14:41:09.866, 90 %, 29028 MiB
2025/08/05 14:42:09.868, 91 %, 29028 MiB
==== New Run: Tue Aug  5 14:44:46 KST 2025 ====
batch size 1
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/05 14:44:46.983, 0 %, 130 MiB
2025/08/05 14:45:47.028, 0 %, 15184 MiB
2025/08/05 14:46:47.030, 0 %, 15184 MiB
