==== New Run: Sat Aug  9 01:00:02 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/09 01:00:02.274, 8 %, 130 MiB
2025/08/09 01:01:02.279, 0 %, 3636 MiB
2025/08/09 01:02:02.280, 0 %, 3636 MiB
2025/08/09 01:03:02.282, 0 %, 3636 MiB
2025/08/09 01:04:02.283, 0 %, 3636 MiB
2025/08/09 01:05:02.285, 0 %, 3636 MiB
2025/08/09 01:06:02.286, 0 %, 26302 MiB
2025/08/09 01:07:02.287, 95 %, 27644 MiB
2025/08/09 01:08:02.288, 94 %, 27644 MiB
2025/08/09 01:09:02.289, 99 %, 11190 MiB
2025/08/09 01:10:02.291, 96 %, 11190 MiB
2025/08/09 01:11:02.292, 100 %, 15008 MiB
2025/08/09 01:12:02.293, 81 %, 3900 MiB
2025/08/09 01:13:02.294, 81 %, 3900 MiB
2025/08/09 01:14:02.299, 80 %, 3902 MiB
2025/08/09 01:15:02.300, 80 %, 3902 MiB
2025/08/09 01:16:02.302, 79 %, 3902 MiB
2025/08/09 01:17:02.303, 79 %, 3902 MiB
2025/08/09 01:18:02.304, 79 %, 3902 MiB
2025/08/09 01:19:02.306, 71 %, 3902 MiB
2025/08/09 01:20:02.308, 79 %, 3902 MiB
2025/08/09 01:21:02.309, 80 %, 3902 MiB
2025/08/09 01:22:02.310, 80 %, 3902 MiB
2025/08/09 01:23:02.312, 80 %, 3902 MiB
2025/08/09 01:24:02.313, 81 %, 3902 MiB
2025/08/09 01:25:02.315, 79 %, 3902 MiB
2025/08/09 01:26:02.316, 80 %, 3902 MiB
2025/08/09 01:27:02.317, 80 %, 3902 MiB
2025/08/09 01:28:02.318, 79 %, 3902 MiB
2025/08/09 01:29:02.319, 79 %, 3902 MiB
2025/08/09 01:30:02.321, 80 %, 3902 MiB
2025/08/09 01:31:02.323, 79 %, 3902 MiB
2025/08/09 01:32:02.324, 79 %, 3902 MiB
2025/08/09 01:33:02.326, 80 %, 3902 MiB
2025/08/09 01:34:02.327, 80 %, 3902 MiB
2025/08/09 01:35:02.328, 80 %, 3902 MiB
2025/08/09 01:36:02.330, 79 %, 3902 MiB
2025/08/09 01:37:02.332, 79 %, 3902 MiB
2025/08/09 01:38:02.333, 80 %, 3902 MiB
2025/08/09 01:39:02.334, 80 %, 3902 MiB
2025/08/09 01:40:02.336, 79 %, 3902 MiB
2025/08/09 01:41:02.337, 79 %, 3902 MiB
2025/08/09 01:42:02.339, 80 %, 3902 MiB
2025/08/09 01:43:02.340, 80 %, 3902 MiB
2025/08/09 01:44:02.341, 80 %, 3902 MiB
2025/08/09 01:45:02.343, 80 %, 3902 MiB
2025/08/09 01:46:02.344, 80 %, 3902 MiB
2025/08/09 01:47:02.346, 79 %, 3902 MiB
2025/08/09 01:48:02.347, 79 %, 3902 MiB
2025/08/09 01:49:02.349, 80 %, 3902 MiB
2025/08/09 01:50:02.350, 82 %, 4822 MiB
2025/08/09 01:51:02.351, 82 %, 4822 MiB
2025/08/09 01:52:02.353, 82 %, 4822 MiB
2025/08/09 01:53:02.354, 81 %, 4822 MiB
2025/08/09 01:54:02.355, 81 %, 4822 MiB
2025/08/09 01:55:02.357, 79 %, 4822 MiB
2025/08/09 01:56:02.358, 79 %, 4822 MiB
2025/08/09 01:57:02.359, 79 %, 4822 MiB
2025/08/09 01:58:02.360, 80 %, 4822 MiB
2025/08/09 01:59:02.362, 84 %, 6174 MiB
2025/08/09 02:00:02.363, 76 %, 6194 MiB
2025/08/09 02:01:02.364, 74 %, 6194 MiB
2025/08/09 02:02:02.365, 80 %, 6194 MiB
2025/08/09 02:03:02.367, 76 %, 6194 MiB
2025/08/09 02:04:02.368, 73 %, 6194 MiB
2025/08/09 02:05:02.369, 74 %, 6194 MiB
2025/08/09 02:06:02.371, 72 %, 6194 MiB
2025/08/09 02:07:02.372, 77 %, 6194 MiB
2025/08/09 02:08:02.373, 77 %, 6194 MiB
2025/08/09 02:09:02.375, 76 %, 6194 MiB
2025/08/09 02:10:02.377, 77 %, 6194 MiB
2025/08/09 02:11:02.378, 82 %, 6194 MiB
2025/08/09 02:12:02.380, 74 %, 6194 MiB
2025/08/09 02:13:02.381, 76 %, 6194 MiB
2025/08/09 02:14:02.382, 82 %, 6194 MiB
2025/08/09 02:15:02.383, 76 %, 6194 MiB
2025/08/09 02:16:02.385, 77 %, 6194 MiB
2025/08/09 02:17:02.386, 74 %, 6194 MiB
2025/08/09 02:18:02.388, 76 %, 6194 MiB
2025/08/09 02:19:02.389, 81 %, 6194 MiB
2025/08/09 02:20:02.390, 75 %, 6194 MiB
2025/08/09 02:21:02.390, 73 %, 6194 MiB
2025/08/09 02:22:02.391, 81 %, 6194 MiB
2025/08/09 02:23:02.392, 77 %, 6194 MiB
2025/08/09 02:24:02.392, 78 %, 6194 MiB
2025/08/09 02:25:02.393, 85 %, 6194 MiB
2025/08/09 02:26:02.393, 82 %, 6194 MiB
2025/08/09 02:27:02.394, 82 %, 6194 MiB
2025/08/09 02:28:02.394, 82 %, 6194 MiB
2025/08/09 02:29:02.395, 82 %, 6194 MiB
2025/08/09 02:30:02.395, 83 %, 6194 MiB
2025/08/09 02:31:02.396, 81 %, 6194 MiB
2025/08/09 02:32:02.396, 87 %, 6194 MiB
2025/08/09 02:33:02.398, 85 %, 6194 MiB
2025/08/09 02:34:02.399, 84 %, 6194 MiB
2025/08/09 02:35:02.400, 81 %, 6194 MiB
2025/08/09 02:36:02.401, 81 %, 6194 MiB
2025/08/09 02:37:02.402, 82 %, 6194 MiB
2025/08/09 02:38:02.403, 75 %, 6194 MiB
2025/08/09 02:39:02.404, 81 %, 6194 MiB
2025/08/09 02:40:02.406, 83 %, 6194 MiB
2025/08/09 02:41:02.407, 74 %, 6194 MiB
2025/08/09 02:42:02.408, 81 %, 6194 MiB
2025/08/09 02:43:02.409, 83 %, 6194 MiB
2025/08/09 02:44:02.410, 0 %, 6194 MiB
2025/08/09 02:45:02.411, 88 %, 6194 MiB
2025/08/09 02:46:02.412, 82 %, 6194 MiB
2025/08/09 02:47:02.414, 88 %, 6194 MiB
2025/08/09 02:48:02.415, 82 %, 6194 MiB
2025/08/09 02:49:02.416, 87 %, 6194 MiB
2025/08/09 02:50:02.417, 86 %, 6194 MiB
2025/08/09 02:51:02.418, 86 %, 6194 MiB
2025/08/09 02:52:02.419, 86 %, 6194 MiB
2025/08/09 02:53:02.420, 88 %, 6194 MiB
2025/08/09 02:54:02.421, 86 %, 6194 MiB
2025/08/09 02:55:02.423, 86 %, 6194 MiB
2025/08/09 02:56:02.426, 82 %, 6194 MiB
2025/08/09 02:57:02.427, 83 %, 6194 MiB
2025/08/09 02:58:02.430, 83 %, 6194 MiB
2025/08/09 02:59:02.431, 86 %, 6194 MiB
2025/08/09 03:00:02.433, 83 %, 6194 MiB
2025/08/09 03:01:02.435, 83 %, 6194 MiB
2025/08/09 03:02:02.437, 85 %, 6194 MiB
2025/08/09 03:03:02.439, 81 %, 6194 MiB
2025/08/09 03:04:02.441, 82 %, 6194 MiB
2025/08/09 03:05:02.442, 82 %, 6194 MiB
2025/08/09 03:06:02.443, 82 %, 6194 MiB
2025/08/09 03:07:02.445, 84 %, 6194 MiB
2025/08/09 03:08:02.446, 81 %, 6194 MiB
2025/08/09 03:09:02.448, 80 %, 6194 MiB
2025/08/09 03:10:02.449, 81 %, 6194 MiB
2025/08/09 03:11:02.450, 82 %, 6194 MiB
2025/08/09 03:12:02.451, 81 %, 6194 MiB
2025/08/09 03:13:02.453, 81 %, 6194 MiB
2025/08/09 03:14:02.454, 80 %, 6194 MiB
2025/08/09 03:15:02.455, 81 %, 6194 MiB
2025/08/09 03:16:02.456, 83 %, 6194 MiB
2025/08/09 03:17:02.458, 83 %, 6194 MiB
2025/08/09 03:18:02.459, 81 %, 6194 MiB
2025/08/09 03:19:02.460, 80 %, 6194 MiB
2025/08/09 03:20:02.461, 81 %, 6194 MiB
2025/08/09 03:21:02.462, 81 %, 6194 MiB
2025/08/09 03:22:02.464, 84 %, 6194 MiB
2025/08/09 03:23:02.465, 79 %, 6194 MiB
2025/08/09 03:24:02.466, 81 %, 6194 MiB
2025/08/09 03:25:02.468, 88 %, 6194 MiB
2025/08/09 03:26:02.469, 82 %, 6194 MiB
2025/08/09 03:27:02.470, 81 %, 6194 MiB
