==== New Run: Sat Aug  2 07:20:19 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/02 07:20:19.744, 0 %, 216 MiB
2025/08/02 07:21:19.749, 0 %, 15270 MiB
2025/08/02 07:22:19.750, 0 %, 15270 MiB
2025/08/02 07:23:19.751, 0 %, 15270 MiB
2025/08/02 07:24:19.753, 0 %, 15270 MiB
2025/08/02 07:25:19.758, 0 %, 27924 MiB
2025/08/02 07:26:19.759, 100 %, 26070 MiB
2025/08/02 07:27:19.801, 99 %, 29642 MiB
2025/08/02 07:28:19.802, 98 %, 29642 MiB
2025/08/02 07:29:19.804, 98 %, 29696 MiB
2025/08/02 07:30:19.805, 98 %, 29696 MiB
2025/08/02 07:31:19.806, 98 %, 29696 MiB
2025/08/02 07:32:19.808, 97 %, 29696 MiB
2025/08/02 07:33:19.808, 95 %, 29696 MiB
2025/08/02 07:34:19.810, 95 %, 29696 MiB
2025/08/02 07:35:19.811, 95 %, 29696 MiB
2025/08/02 07:36:19.812, 96 %, 29696 MiB
2025/08/02 07:37:19.813, 96 %, 29696 MiB
2025/08/02 07:38:19.815, 96 %, 29696 MiB
2025/08/02 07:39:19.816, 95 %, 29696 MiB
2025/08/02 07:40:19.817, 95 %, 29696 MiB
2025/08/02 07:41:19.819, 94 %, 29696 MiB
2025/08/02 07:42:19.821, 94 %, 29696 MiB
2025/08/02 07:43:19.822, 94 %, 29696 MiB
2025/08/02 07:44:19.823, 100 %, 30936 MiB
2025/08/02 07:45:19.825, 86 %, 15614 MiB
2025/08/02 07:46:19.826, 91 %, 15614 MiB
2025/08/02 07:47:19.828, 91 %, 15614 MiB
2025/08/02 07:48:19.829, 92 %, 15614 MiB
2025/08/02 07:49:19.831, 91 %, 15616 MiB
2025/08/02 07:50:19.832, 90 %, 15616 MiB
2025/08/02 07:51:19.834, 91 %, 15616 MiB
2025/08/02 07:52:19.838, 90 %, 15616 MiB
2025/08/02 07:53:19.839, 90 %, 15616 MiB
2025/08/02 07:54:19.840, 90 %, 15616 MiB
2025/08/02 07:55:19.842, 90 %, 15616 MiB
2025/08/02 07:56:19.843, 90 %, 15616 MiB
2025/08/02 07:57:19.845, 90 %, 15616 MiB
2025/08/02 07:58:19.846, 90 %, 15616 MiB
2025/08/02 07:59:19.847, 90 %, 15616 MiB
2025/08/02 08:00:19.849, 90 %, 15616 MiB
2025/08/02 08:01:19.850, 90 %, 15616 MiB
2025/08/02 08:02:19.851, 90 %, 15616 MiB
2025/08/02 08:03:19.852, 91 %, 15616 MiB
2025/08/02 08:04:19.853, 90 %, 15616 MiB
2025/08/02 08:05:19.855, 91 %, 15616 MiB
2025/08/02 08:06:19.856, 90 %, 15616 MiB
2025/08/02 08:07:19.857, 90 %, 15616 MiB
2025/08/02 08:08:19.859, 90 %, 15616 MiB
2025/08/02 08:09:19.860, 90 %, 15616 MiB
2025/08/02 08:10:19.890, 90 %, 15616 MiB
2025/08/02 08:11:19.891, 90 %, 15616 MiB
2025/08/02 08:12:19.892, 91 %, 15616 MiB
2025/08/02 08:13:19.893, 91 %, 15616 MiB
2025/08/02 08:14:19.894, 90 %, 15616 MiB
2025/08/02 08:15:19.895, 90 %, 15616 MiB
2025/08/02 08:16:19.897, 90 %, 15616 MiB
2025/08/02 08:17:19.898, 90 %, 15616 MiB
2025/08/02 08:18:19.900, 90 %, 15616 MiB
2025/08/02 08:19:19.901, 91 %, 15616 MiB
