==== New Run: Sat Aug  2 12:57:39 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/02 12:57:39.766, 0 %, 216 MiB
2025/08/02 12:58:39.769, 0 %, 15270 MiB
2025/08/02 12:59:39.772, 0 %, 15270 MiB
2025/08/02 13:00:39.774, 0 %, 15270 MiB
2025/08/02 13:01:39.776, 0 %, 15270 MiB
2025/08/02 13:02:39.777, 0 %, 29130 MiB
2025/08/02 13:03:39.779, 0 %, 26070 MiB
2025/08/02 13:04:39.780, 99 %, 29642 MiB
2025/08/02 13:05:39.781, 98 %, 29642 MiB
2025/08/02 13:06:39.782, 98 %, 29696 MiB
2025/08/02 13:07:39.784, 97 %, 29696 MiB
2025/08/02 13:08:39.786, 98 %, 29696 MiB
2025/08/02 13:09:39.787, 98 %, 29696 MiB
2025/08/02 13:10:39.789, 96 %, 29696 MiB
2025/08/02 13:11:39.790, 95 %, 29696 MiB
2025/08/02 13:12:39.792, 96 %, 29696 MiB
2025/08/02 13:13:39.793, 96 %, 29696 MiB
2025/08/02 13:14:39.794, 95 %, 29696 MiB
2025/08/02 13:15:39.796, 96 %, 29696 MiB
2025/08/02 13:16:39.798, 96 %, 29696 MiB
2025/08/02 13:17:39.797, 96 %, 29696 MiB
2025/08/02 13:18:39.796, 94 %, 29696 MiB
2025/08/02 13:19:39.795, 94 %, 29696 MiB
2025/08/02 13:20:39.796, 93 %, 29696 MiB
2025/08/02 13:21:39.796, 100 %, 30936 MiB
2025/08/02 13:22:39.796, 93 %, 15614 MiB
2025/08/02 13:23:39.796, 91 %, 16074 MiB
2025/08/02 13:24:39.796, 91 %, 16074 MiB
2025/08/02 13:25:39.796, 91 %, 16074 MiB
2025/08/02 13:26:39.796, 91 %, 16074 MiB
2025/08/02 13:27:39.797, 91 %, 16074 MiB
2025/08/02 13:28:39.797, 91 %, 16074 MiB
2025/08/02 13:29:39.802, 91 %, 16074 MiB
2025/08/02 13:30:39.803, 91 %, 16074 MiB
2025/08/02 13:31:39.804, 91 %, 16074 MiB
2025/08/02 13:32:39.805, 91 %, 16074 MiB
2025/08/02 13:33:39.805, 91 %, 16074 MiB
2025/08/02 13:34:39.806, 92 %, 16074 MiB
2025/08/02 13:35:39.806, 92 %, 16074 MiB
2025/08/02 13:36:39.807, 92 %, 16074 MiB
2025/08/02 13:37:39.809, 92 %, 16074 MiB
2025/08/02 13:38:39.810, 91 %, 16074 MiB
2025/08/02 13:39:39.810, 91 %, 16074 MiB
2025/08/02 13:40:39.838, 91 %, 16074 MiB
2025/08/02 13:41:39.840, 92 %, 16074 MiB
2025/08/02 13:42:39.841, 91 %, 16074 MiB
2025/08/02 13:43:39.842, 91 %, 16074 MiB
2025/08/02 13:44:39.843, 91 %, 16074 MiB
2025/08/02 13:45:39.844, 91 %, 16074 MiB
2025/08/02 13:46:39.845, 91 %, 16074 MiB
2025/08/02 13:47:39.846, 91 %, 16074 MiB
2025/08/02 13:48:39.847, 92 %, 16074 MiB
2025/08/02 13:49:39.847, 91 %, 16074 MiB
2025/08/02 13:50:39.848, 91 %, 17514 MiB
2025/08/02 13:51:39.851, 87 %, 17516 MiB
2025/08/02 13:52:39.854, 91 %, 17516 MiB
2025/08/02 13:53:39.857, 88 %, 17516 MiB
2025/08/02 13:54:39.860, 91 %, 17516 MiB
2025/08/02 13:55:39.863, 91 %, 17516 MiB
2025/08/02 13:56:39.865, 88 %, 17516 MiB
2025/08/02 13:57:39.867, 91 %, 17516 MiB
2025/08/02 13:58:39.870, 85 %, 17516 MiB
2025/08/02 13:59:39.872, 91 %, 17516 MiB
2025/08/02 14:00:39.873, 90 %, 17516 MiB
2025/08/02 14:01:39.876, 91 %, 17516 MiB
2025/08/02 14:02:39.878, 90 %, 17516 MiB
2025/08/02 14:03:39.880, 90 %, 17516 MiB
2025/08/02 14:04:39.882, 90 %, 17516 MiB
2025/08/02 14:05:39.884, 91 %, 17516 MiB
2025/08/02 14:06:39.886, 90 %, 17516 MiB
2025/08/02 14:07:39.888, 92 %, 17516 MiB
2025/08/02 14:08:39.890, 90 %, 17516 MiB
2025/08/02 14:09:39.892, 92 %, 17516 MiB
2025/08/02 14:10:39.893, 91 %, 17516 MiB
2025/08/02 14:11:39.896, 91 %, 17516 MiB
2025/08/02 14:12:39.898, 91 %, 17516 MiB
2025/08/02 14:13:39.900, 91 %, 17516 MiB
2025/08/02 14:14:39.901, 90 %, 17516 MiB
2025/08/02 14:15:39.903, 91 %, 17516 MiB
2025/08/02 14:16:39.905, 90 %, 17516 MiB
2025/08/02 14:17:39.907, 91 %, 17516 MiB
2025/08/02 14:18:39.908, 92 %, 17516 MiB
2025/08/02 14:19:39.910, 91 %, 17516 MiB
2025/08/02 14:20:39.912, 91 %, 17516 MiB
2025/08/02 14:21:39.913, 91 %, 17516 MiB
2025/08/02 14:22:39.915, 91 %, 17516 MiB
2025/08/02 14:23:39.947, 91 %, 17516 MiB
2025/08/02 14:24:39.948, 90 %, 17516 MiB
2025/08/02 14:25:39.949, 91 %, 17516 MiB
2025/08/02 14:26:39.949, 90 %, 17516 MiB
2025/08/02 14:27:39.950, 91 %, 17516 MiB
2025/08/02 14:28:39.951, 91 %, 17516 MiB
2025/08/02 14:29:39.951, 91 %, 17516 MiB
2025/08/02 14:30:39.951, 91 %, 17516 MiB
