==== New Run: Wed Aug 13 18:45:14 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/13 18:45:14.388, 6 %, 197 MiB
2025/08/13 18:46:14.390, 0 %, 3303 MiB
2025/08/13 18:47:14.392, 0 %, 3303 MiB
2025/08/13 18:48:14.393, 0 %, 3303 MiB
2025/08/13 18:49:14.394, 0 %, 3303 MiB
2025/08/13 18:50:14.395, 0 %, 3303 MiB
==== New Run: Thu Aug 14 07:21:12 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/14 07:21:12.607, 33 %, 197 MiB
2025/08/14 07:22:12.630, 0 %, 3993 MiB
2025/08/14 07:23:12.632, 0 %, 3993 MiB
2025/08/14 07:24:12.633, 0 %, 3993 MiB
2025/08/14 07:25:12.634, 0 %, 3993 MiB
2025/08/14 07:26:12.635, 100 %, 17281 MiB
2025/08/14 07:27:12.637, 90 %, 17339 MiB
2025/08/14 07:28:12.638, 89 %, 17339 MiB
2025/08/14 07:29:12.639, 86 %, 17339 MiB
2025/08/14 07:30:12.640, 87 %, 17339 MiB
2025/08/14 07:31:12.641, 82 %, 17339 MiB
2025/08/14 07:32:12.643, 85 %, 17339 MiB
2025/08/14 07:33:12.645, 84 %, 17339 MiB
2025/08/14 07:34:12.647, 84 %, 17339 MiB
2025/08/14 07:35:12.649, 85 %, 17339 MiB
2025/08/14 07:36:12.651, 85 %, 17339 MiB
2025/08/14 07:37:12.653, 85 %, 17339 MiB
2025/08/14 07:38:12.655, 84 %, 17339 MiB
2025/08/14 07:39:12.656, 83 %, 17339 MiB
2025/08/14 07:40:12.658, 83 %, 17339 MiB
2025/08/14 07:41:12.660, 83 %, 17339 MiB
2025/08/14 07:42:12.661, 84 %, 17339 MiB
2025/08/14 07:43:12.663, 80 %, 17339 MiB
2025/08/14 07:44:12.665, 84 %, 17341 MiB
2025/08/14 07:45:12.666, 83 %, 17365 MiB
2025/08/14 07:46:12.668, 77 %, 17365 MiB
2025/08/14 07:47:12.669, 84 %, 17365 MiB
2025/08/14 07:48:12.671, 83 %, 17365 MiB
2025/08/14 07:49:12.672, 82 %, 17365 MiB
2025/08/14 07:50:12.674, 83 %, 17365 MiB
2025/08/14 07:51:12.675, 83 %, 17365 MiB
2025/08/14 07:52:12.676, 83 %, 17365 MiB
2025/08/14 07:53:12.678, 82 %, 17365 MiB
2025/08/14 07:54:12.679, 84 %, 17365 MiB
2025/08/14 07:55:12.680, 83 %, 17365 MiB
2025/08/14 07:56:12.681, 83 %, 17365 MiB
2025/08/14 07:57:12.683, 82 %, 17365 MiB
2025/08/14 07:58:12.684, 81 %, 17365 MiB
2025/08/14 07:59:12.685, 83 %, 17365 MiB
2025/08/14 08:00:12.687, 83 %, 17365 MiB
2025/08/14 08:01:12.688, 83 %, 17365 MiB
2025/08/14 08:02:12.689, 82 %, 17365 MiB
2025/08/14 08:03:12.691, 83 %, 17365 MiB
2025/08/14 08:04:12.692, 82 %, 17365 MiB
2025/08/14 08:05:12.693, 83 %, 17365 MiB
2025/08/14 08:06:12.694, 83 %, 17365 MiB
2025/08/14 08:07:12.694, 83 %, 17365 MiB
2025/08/14 08:08:12.695, 83 %, 17365 MiB
2025/08/14 08:09:12.695, 83 %, 17365 MiB
2025/08/14 08:10:12.696, 83 %, 17365 MiB
2025/08/14 08:11:12.696, 82 %, 17365 MiB
2025/08/14 08:12:12.697, 82 %, 17365 MiB
2025/08/14 08:13:12.698, 82 %, 17365 MiB
2025/08/14 08:14:12.699, 83 %, 17365 MiB
2025/08/14 08:15:12.700, 83 %, 17365 MiB
2025/08/14 08:16:12.701, 83 %, 17365 MiB
2025/08/14 08:17:12.702, 82 %, 17365 MiB
2025/08/14 08:18:12.703, 82 %, 17365 MiB
2025/08/14 08:19:12.705, 83 %, 17365 MiB
2025/08/14 08:20:12.706, 83 %, 17365 MiB
2025/08/14 08:21:12.706, 84 %, 17365 MiB
2025/08/14 08:22:12.707, 83 %, 17365 MiB
2025/08/14 08:23:12.708, 83 %, 17365 MiB
2025/08/14 08:24:12.709, 83 %, 17365 MiB
2025/08/14 08:25:12.710, 83 %, 17365 MiB
2025/08/14 08:26:12.711, 83 %, 17365 MiB
2025/08/14 08:27:12.712, 84 %, 17365 MiB
2025/08/14 08:28:12.714, 83 %, 17365 MiB
2025/08/14 08:29:12.714, 82 %, 17365 MiB
2025/08/14 08:30:12.716, 82 %, 17365 MiB
2025/08/14 08:31:12.717, 84 %, 17365 MiB
2025/08/14 08:32:12.718, 83 %, 17365 MiB
2025/08/14 08:33:12.720, 83 %, 17365 MiB
2025/08/14 08:34:12.721, 83 %, 17365 MiB
2025/08/14 08:35:12.722, 83 %, 17365 MiB
2025/08/14 08:36:12.723, 82 %, 17365 MiB
2025/08/14 08:37:12.724, 84 %, 17365 MiB
2025/08/14 08:38:12.726, 82 %, 17365 MiB
2025/08/14 08:39:12.727, 83 %, 17365 MiB
2025/08/14 08:40:12.728, 83 %, 17365 MiB
2025/08/14 08:41:12.729, 82 %, 17365 MiB
2025/08/14 08:42:12.731, 84 %, 17365 MiB
2025/08/14 08:43:12.732, 83 %, 17365 MiB
2025/08/14 08:44:12.734, 83 %, 17365 MiB
2025/08/14 08:45:12.735, 83 %, 17365 MiB
2025/08/14 08:46:12.736, 82 %, 17365 MiB
2025/08/14 08:47:12.738, 82 %, 17365 MiB
2025/08/14 08:48:12.739, 100 %, 20893 MiB
2025/08/14 08:49:12.741, 80 %, 20893 MiB
2025/08/14 08:50:12.742, 78 %, 20893 MiB
2025/08/14 08:51:12.744, 79 %, 20893 MiB
2025/08/14 08:52:12.745, 79 %, 20893 MiB
2025/08/14 08:53:12.746, 78 %, 20893 MiB
2025/08/14 08:54:12.748, 79 %, 20893 MiB
2025/08/14 08:55:12.749, 82 %, 20893 MiB
2025/08/14 08:56:12.750, 77 %, 20893 MiB
2025/08/14 08:57:12.752, 86 %, 20893 MiB
2025/08/14 08:58:12.753, 96 %, 20893 MiB
2025/08/14 08:59:12.755, 81 %, 20893 MiB
2025/08/14 09:00:12.756, 80 %, 20893 MiB
2025/08/14 09:01:12.758, 79 %, 20893 MiB
2025/08/14 09:02:12.760, 85 %, 20893 MiB
2025/08/14 09:03:12.761, 79 %, 20893 MiB
2025/08/14 09:04:12.763, 79 %, 20893 MiB
2025/08/14 09:05:12.764, 79 %, 20893 MiB
2025/08/14 09:06:12.766, 79 %, 20893 MiB
2025/08/14 09:07:12.767, 85 %, 20893 MiB
2025/08/14 09:08:12.769, 78 %, 20893 MiB
2025/08/14 09:09:12.770, 80 %, 20893 MiB
2025/08/14 09:10:12.771, 81 %, 20893 MiB
2025/08/14 09:11:12.773, 84 %, 20893 MiB
2025/08/14 09:12:12.774, 81 %, 20893 MiB
2025/08/14 09:13:12.775, 83 %, 20893 MiB
2025/08/14 09:14:12.776, 78 %, 20893 MiB
2025/08/14 09:15:12.779, 78 %, 20893 MiB
2025/08/14 09:16:12.780, 79 %, 20893 MiB
2025/08/14 09:17:12.782, 77 %, 20893 MiB
2025/08/14 09:18:12.784, 85 %, 20893 MiB
2025/08/14 09:19:12.786, 85 %, 20893 MiB
2025/08/14 09:20:12.787, 81 %, 20893 MiB
2025/08/14 09:21:12.789, 85 %, 20893 MiB
2025/08/14 09:22:12.790, 85 %, 20893 MiB
2025/08/14 09:23:12.792, 85 %, 20893 MiB
2025/08/14 09:24:12.793, 80 %, 20893 MiB
2025/08/14 09:25:12.795, 85 %, 20893 MiB
2025/08/14 09:26:12.797, 85 %, 20893 MiB
2025/08/14 09:27:12.798, 85 %, 20893 MiB
2025/08/14 09:28:12.800, 84 %, 20893 MiB
2025/08/14 09:29:12.801, 85 %, 20893 MiB
2025/08/14 09:30:12.802, 85 %, 20893 MiB
2025/08/14 09:31:12.804, 87 %, 20893 MiB
2025/08/14 09:32:12.805, 87 %, 20893 MiB
2025/08/14 09:33:12.807, 84 %, 20893 MiB
2025/08/14 09:34:12.808, 80 %, 20893 MiB
2025/08/14 09:35:12.809, 84 %, 20893 MiB
2025/08/14 09:36:12.811, 85 %, 20893 MiB
2025/08/14 09:37:12.812, 81 %, 20893 MiB
2025/08/14 09:38:12.813, 85 %, 20893 MiB
2025/08/14 09:39:12.815, 85 %, 20893 MiB
2025/08/14 09:40:12.816, 85 %, 20893 MiB
2025/08/14 09:41:12.818, 84 %, 20893 MiB
2025/08/14 09:42:12.820, 85 %, 20893 MiB
2025/08/14 09:43:12.821, 79 %, 20893 MiB
2025/08/14 09:44:12.823, 85 %, 20893 MiB
2025/08/14 09:45:12.825, 80 %, 20893 MiB
2025/08/14 09:46:12.827, 85 %, 20893 MiB
2025/08/14 09:47:12.828, 84 %, 20893 MiB
2025/08/14 09:48:12.830, 80 %, 20893 MiB
2025/08/14 09:49:12.831, 88 %, 20893 MiB
2025/08/14 09:50:12.832, 89 %, 20893 MiB
2025/08/14 09:51:12.833, 87 %, 20893 MiB
2025/08/14 09:52:12.839, 89 %, 20893 MiB
2025/08/14 09:53:12.840, 87 %, 20893 MiB
2025/08/14 09:54:12.842, 89 %, 20893 MiB
2025/08/14 09:55:12.844, 89 %, 20893 MiB
2025/08/14 09:56:12.845, 89 %, 20893 MiB
2025/08/14 09:57:12.846, 76 %, 20893 MiB
2025/08/14 09:58:12.848, 89 %, 20893 MiB
2025/08/14 09:59:12.849, 89 %, 20893 MiB
2025/08/14 10:00:12.851, 88 %, 20893 MiB
2025/08/14 10:01:12.852, 88 %, 20893 MiB
2025/08/14 10:02:12.853, 89 %, 20893 MiB
2025/08/14 10:03:12.854, 86 %, 20893 MiB
2025/08/14 10:04:12.855, 84 %, 20893 MiB
2025/08/14 10:05:12.856, 84 %, 20893 MiB
2025/08/14 10:06:12.857, 87 %, 20893 MiB
2025/08/14 10:07:12.859, 87 %, 20893 MiB
2025/08/14 10:08:12.859, 87 %, 20893 MiB
2025/08/14 10:09:12.860, 87 %, 20893 MiB
2025/08/14 10:10:12.861, 84 %, 20893 MiB
2025/08/14 10:11:12.863, 84 %, 20893 MiB
2025/08/14 10:12:12.865, 84 %, 20893 MiB
2025/08/14 10:13:12.866, 85 %, 20893 MiB
2025/08/14 10:14:12.867, 86 %, 20893 MiB
2025/08/14 10:15:12.869, 86 %, 20893 MiB
2025/08/14 10:16:12.870, 85 %, 20893 MiB
2025/08/14 10:17:12.872, 86 %, 20893 MiB
2025/08/14 10:18:12.874, 84 %, 20893 MiB
2025/08/14 10:19:12.875, 94 %, 20893 MiB
2025/08/14 10:20:12.876, 84 %, 20893 MiB
2025/08/14 10:21:12.877, 86 %, 20893 MiB
2025/08/14 10:22:12.878, 85 %, 20893 MiB
2025/08/14 10:23:12.878, 85 %, 20893 MiB
2025/08/14 10:24:12.883, 84 %, 20893 MiB
2025/08/14 10:25:12.884, 85 %, 20893 MiB
2025/08/14 10:26:12.885, 86 %, 20893 MiB
2025/08/14 10:27:12.885, 83 %, 20893 MiB
2025/08/14 10:28:12.886, 85 %, 20893 MiB
2025/08/14 10:29:12.887, 85 %, 20893 MiB
2025/08/14 10:30:12.888, 86 %, 20893 MiB
2025/08/14 10:31:12.889, 84 %, 20893 MiB
2025/08/14 10:32:12.890, 84 %, 20893 MiB
2025/08/14 10:33:12.891, 85 %, 20893 MiB
2025/08/14 10:34:12.891, 93 %, 20893 MiB
2025/08/14 10:35:12.892, 84 %, 20893 MiB
2025/08/14 10:36:12.893, 84 %, 20893 MiB
2025/08/14 10:37:12.894, 85 %, 20893 MiB
2025/08/14 10:38:12.894, 83 %, 20893 MiB
2025/08/14 10:39:12.895, 85 %, 20893 MiB
2025/08/14 10:40:12.895, 84 %, 20893 MiB
2025/08/14 10:41:12.896, 85 %, 20893 MiB
2025/08/14 10:42:12.897, 95 %, 20893 MiB
2025/08/14 10:43:12.898, 85 %, 20893 MiB
2025/08/14 10:44:12.900, 85 %, 20893 MiB
2025/08/14 10:45:12.900, 83 %, 20893 MiB
2025/08/14 10:46:12.901, 85 %, 20893 MiB
2025/08/14 10:47:12.902, 85 %, 20893 MiB
2025/08/14 10:48:12.903, 82 %, 20893 MiB
2025/08/14 10:49:12.904, 85 %, 20893 MiB
2025/08/14 10:50:12.905, 85 %, 20893 MiB
2025/08/14 10:51:12.906, 84 %, 20893 MiB
2025/08/14 10:52:12.906, 84 %, 20893 MiB
2025/08/14 10:53:12.907, 86 %, 20893 MiB
2025/08/14 10:54:12.908, 84 %, 20893 MiB
2025/08/14 10:55:12.909, 85 %, 20893 MiB
2025/08/14 10:56:12.910, 85 %, 20893 MiB
2025/08/14 10:57:12.912, 84 %, 20893 MiB
2025/08/14 10:58:12.915, 84 %, 20893 MiB
2025/08/14 10:59:12.917, 85 %, 20893 MiB
2025/08/14 11:00:12.919, 85 %, 20893 MiB
2025/08/14 11:01:12.921, 82 %, 20893 MiB
2025/08/14 11:02:12.924, 81 %, 20893 MiB
2025/08/14 11:03:12.926, 85 %, 20893 MiB
2025/08/14 11:04:12.928, 85 %, 20893 MiB
2025/08/14 11:05:12.930, 85 %, 20893 MiB
2025/08/14 11:06:12.932, 84 %, 20893 MiB
2025/08/14 11:07:12.933, 85 %, 20893 MiB
2025/08/14 11:08:12.934, 84 %, 20893 MiB
2025/08/14 11:09:12.936, 86 %, 20893 MiB
2025/08/14 11:10:12.937, 85 %, 20893 MiB
2025/08/14 11:11:12.939, 85 %, 20893 MiB
2025/08/14 11:12:12.940, 85 %, 20893 MiB
2025/08/14 11:13:12.941, 85 %, 20893 MiB
2025/08/14 11:14:12.943, 85 %, 20893 MiB
2025/08/14 11:15:12.944, 82 %, 20893 MiB
2025/08/14 11:16:12.946, 83 %, 20893 MiB
2025/08/14 11:17:12.947, 84 %, 20893 MiB
2025/08/14 11:18:12.949, 84 %, 20893 MiB
2025/08/14 11:19:12.951, 86 %, 20893 MiB
2025/08/14 11:20:12.952, 82 %, 20893 MiB
2025/08/14 11:21:12.953, 82 %, 20893 MiB
2025/08/14 11:22:12.954, 84 %, 20893 MiB
2025/08/14 11:23:12.955, 85 %, 20893 MiB
2025/08/14 11:24:12.957, 84 %, 20893 MiB
2025/08/14 11:25:12.958, 84 %, 20893 MiB
2025/08/14 11:26:12.959, 83 %, 20893 MiB
2025/08/14 11:27:12.961, 85 %, 20893 MiB
2025/08/14 11:28:12.962, 85 %, 20893 MiB
