==== New Run: Fri Aug  8 18:41:51 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/08 18:41:51.707, 0 %, 130 MiB
==== New Run: Fri Aug  8 19:09:37 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/08 19:09:37.499, 0 %, 130 MiB
2025/08/08 19:10:37.501, 0 %, 28806 MiB
2025/08/08 19:11:37.503, 0 %, 28806 MiB
2025/08/08 19:12:37.505, 0 %, 28806 MiB
2025/08/08 19:13:37.506, 0 %, 28806 MiB
2025/08/08 19:14:37.507, 0 %, 28806 MiB
==== New Run: Tue Aug 12 03:25:06 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/12 03:25:06.336, 0 %, 197 MiB
2025/08/12 03:26:06.340, 0 %, 16825 MiB
2025/08/12 03:27:06.344, 0 %, 16825 MiB
2025/08/12 03:28:06.345, 0 %, 16825 MiB
2025/08/12 03:29:06.346, 0 %, 16825 MiB
2025/08/12 03:30:06.346, 0 %, 16825 MiB
2025/08/12 03:31:06.348, 87 %, 27571 MiB
2025/08/12 03:32:06.349, 82 %, 27653 MiB
2025/08/12 03:33:06.351, 79 %, 27653 MiB
2025/08/12 03:34:06.353, 78 %, 27653 MiB
2025/08/12 03:35:06.354, 77 %, 27653 MiB
2025/08/12 03:36:06.356, 78 %, 27653 MiB
2025/08/12 03:37:06.357, 76 %, 27653 MiB
2025/08/12 03:38:06.359, 73 %, 27653 MiB
2025/08/12 03:39:06.360, 74 %, 27653 MiB
2025/08/12 03:40:06.362, 71 %, 27653 MiB
2025/08/12 03:41:06.364, 71 %, 27653 MiB
2025/08/12 03:42:06.364, 71 %, 27653 MiB
2025/08/12 03:43:06.365, 69 %, 27653 MiB
2025/08/12 03:44:06.366, 71 %, 27653 MiB
2025/08/12 03:45:06.368, 71 %, 27653 MiB
2025/08/12 03:46:06.370, 69 %, 27653 MiB
2025/08/12 03:47:06.371, 68 %, 27653 MiB
2025/08/12 03:48:06.373, 69 %, 27653 MiB
2025/08/12 03:49:06.375, 70 %, 27653 MiB
2025/08/12 03:50:06.376, 69 %, 27653 MiB
2025/08/12 03:51:06.378, 71 %, 27653 MiB
