==== New Run: Wed Aug 13 18:55:32 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/13 18:55:32.785, 100 %, 197 MiB
2025/08/13 18:56:32.787, 0 %, 5123 MiB
2025/08/13 18:57:32.789, 0 %, 5123 MiB
2025/08/13 18:58:32.790, 0 %, 5123 MiB
2025/08/13 18:59:32.792, 0 %, 5123 MiB
2025/08/13 19:00:32.793, 0 %, 5123 MiB
==== New Run: Thu Aug 14 15:32:34 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/14 15:32:34.065, 0 %, 197 MiB
2025/08/14 15:33:34.067, 0 %, 8429 MiB
2025/08/14 15:34:34.070, 0 %, 8429 MiB
2025/08/14 15:35:34.072, 0 %, 8429 MiB
2025/08/14 15:36:34.073, 0 %, 8429 MiB
2025/08/14 15:37:34.075, 100 %, 18789 MiB
2025/08/14 15:38:34.076, 93 %, 22463 MiB
2025/08/14 15:39:34.077, 93 %, 22463 MiB
2025/08/14 15:40:34.079, 92 %, 22463 MiB
2025/08/14 15:41:34.080, 91 %, 22463 MiB
2025/08/14 15:42:34.081, 91 %, 22463 MiB
2025/08/14 15:43:34.083, 91 %, 22463 MiB
2025/08/14 15:44:34.084, 92 %, 22463 MiB
2025/08/14 15:45:34.086, 91 %, 22463 MiB
2025/08/14 15:46:34.087, 88 %, 22463 MiB
2025/08/14 15:47:34.088, 88 %, 22463 MiB
2025/08/14 15:48:34.089, 88 %, 22463 MiB
2025/08/14 15:49:34.091, 88 %, 22463 MiB
2025/08/14 15:50:34.092, 88 %, 22463 MiB
2025/08/14 15:51:34.094, 88 %, 22463 MiB
2025/08/14 15:52:34.095, 88 %, 22463 MiB
2025/08/14 15:53:34.097, 88 %, 22463 MiB
2025/08/14 15:54:34.098, 87 %, 22463 MiB
2025/08/14 15:55:34.100, 87 %, 22463 MiB
2025/08/14 15:56:34.101, 87 %, 22463 MiB
2025/08/14 15:57:34.102, 86 %, 22463 MiB
2025/08/14 15:58:34.104, 86 %, 22463 MiB
2025/08/14 15:59:34.105, 87 %, 22463 MiB
2025/08/14 16:00:34.106, 86 %, 22463 MiB
2025/08/14 16:01:34.107, 86 %, 22463 MiB
2025/08/14 16:02:34.109, 86 %, 22463 MiB
2025/08/14 16:03:34.110, 85 %, 22463 MiB
2025/08/14 16:04:34.111, 86 %, 22463 MiB
2025/08/14 16:05:34.113, 86 %, 22463 MiB
2025/08/14 16:06:34.114, 89 %, 22465 MiB
2025/08/14 16:07:34.115, 90 %, 22465 MiB
2025/08/14 16:08:34.116, 84 %, 22499 MiB
2025/08/14 16:09:34.118, 82 %, 22499 MiB
2025/08/14 16:10:34.119, 82 %, 22499 MiB
2025/08/14 16:11:34.120, 86 %, 22499 MiB
2025/08/14 16:12:34.121, 86 %, 22499 MiB
2025/08/14 16:13:34.122, 86 %, 22499 MiB
2025/08/14 16:14:34.123, 86 %, 22499 MiB
2025/08/14 16:15:34.125, 86 %, 22499 MiB
2025/08/14 16:16:34.126, 86 %, 22499 MiB
2025/08/14 16:17:34.128, 87 %, 22499 MiB
2025/08/14 16:18:34.129, 86 %, 22499 MiB
2025/08/14 16:19:34.130, 87 %, 22499 MiB
2025/08/14 16:20:34.132, 86 %, 22499 MiB
2025/08/14 16:21:34.133, 87 %, 22499 MiB
2025/08/14 16:22:34.135, 86 %, 22499 MiB
2025/08/14 16:23:34.135, 87 %, 22499 MiB
2025/08/14 16:24:34.137, 87 %, 22499 MiB
2025/08/14 16:25:34.138, 86 %, 22499 MiB
2025/08/14 16:26:34.139, 87 %, 22499 MiB
2025/08/14 16:27:34.140, 86 %, 22499 MiB
2025/08/14 16:28:34.141, 87 %, 22499 MiB
2025/08/14 16:29:34.142, 86 %, 22499 MiB
2025/08/14 16:30:34.143, 86 %, 22499 MiB
2025/08/14 16:31:34.144, 86 %, 22499 MiB
2025/08/14 16:32:34.145, 86 %, 22499 MiB
2025/08/14 16:33:34.147, 86 %, 22499 MiB
2025/08/14 16:34:34.147, 86 %, 22499 MiB
2025/08/14 16:35:34.149, 86 %, 22499 MiB
2025/08/14 16:36:34.150, 86 %, 22499 MiB
2025/08/14 16:37:34.151, 87 %, 22499 MiB
2025/08/14 16:38:34.152, 87 %, 22499 MiB
2025/08/14 16:39:34.153, 86 %, 22499 MiB
2025/08/14 16:40:34.155, 86 %, 22499 MiB
2025/08/14 16:41:34.156, 87 %, 22499 MiB
2025/08/14 16:42:34.157, 87 %, 22499 MiB
2025/08/14 16:43:34.158, 86 %, 22499 MiB
2025/08/14 16:44:34.160, 87 %, 22499 MiB
2025/08/14 16:45:34.161, 86 %, 22499 MiB
2025/08/14 16:46:34.162, 87 %, 22499 MiB
2025/08/14 16:47:34.164, 87 %, 22499 MiB
2025/08/14 16:48:34.165, 87 %, 22499 MiB
2025/08/14 16:49:34.166, 87 %, 22499 MiB
2025/08/14 16:50:34.167, 86 %, 22499 MiB
2025/08/14 16:51:34.169, 86 %, 22499 MiB
2025/08/14 16:52:34.170, 87 %, 22499 MiB
2025/08/14 16:53:34.171, 87 %, 22499 MiB
2025/08/14 16:54:34.172, 87 %, 22499 MiB
2025/08/14 16:55:34.174, 91 %, 22499 MiB
2025/08/14 16:56:34.175, 91 %, 22499 MiB
2025/08/14 16:57:34.176, 90 %, 22499 MiB
2025/08/14 16:58:34.178, 90 %, 22499 MiB
2025/08/14 16:59:34.179, 89 %, 22499 MiB
2025/08/14 17:00:34.181, 89 %, 22499 MiB
2025/08/14 17:01:34.182, 88 %, 22499 MiB
2025/08/14 17:02:34.183, 88 %, 22499 MiB
2025/08/14 17:03:34.184, 88 %, 22499 MiB
2025/08/14 17:04:34.186, 89 %, 22499 MiB
2025/08/14 17:05:34.187, 88 %, 22499 MiB
2025/08/14 17:06:34.189, 90 %, 22499 MiB
2025/08/14 17:07:34.190, 99 %, 22499 MiB
2025/08/14 17:08:34.192, 89 %, 22499 MiB
2025/08/14 17:09:34.192, 89 %, 22499 MiB
2025/08/14 17:10:34.194, 89 %, 22499 MiB
2025/08/14 17:11:34.195, 88 %, 22499 MiB
2025/08/14 17:12:34.196, 90 %, 22499 MiB
