==== New Run: Thu Jul 31 10:26:39 PM KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/31 22:26:39.780, 1 %, 474 MiB
==== New Run: Thu Jul 31 11:11:06 PM KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/31 23:11:06.899, 4 %, 460 MiB
==== New Run: Fri Aug  1 15:42:43 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/01 15:42:43.410, 17 %, 217 MiB
2025/08/01 15:43:43.442, 0 %, 16347 MiB
2025/08/01 15:44:43.444, 0 %, 16347 MiB
2025/08/01 15:45:43.470, 0 %, 16347 MiB
2025/08/01 15:46:43.472, 0 %, 16347 MiB
2025/08/01 15:47:43.473, 0 %, 16347 MiB
2025/08/01 15:48:43.475, 100 %, 28139 MiB
2025/08/01 15:49:43.476, 97 %, 30797 MiB
2025/08/01 15:50:43.478, 96 %, 30869 MiB
2025/08/01 15:51:43.479, 95 %, 30869 MiB
2025/08/01 15:52:43.481, 95 %, 30869 MiB
2025/08/01 15:53:43.482, 95 %, 30869 MiB
2025/08/01 15:54:43.483, 95 %, 30869 MiB
2025/08/01 15:55:43.485, 95 %, 30869 MiB
2025/08/01 15:56:43.506, 95 %, 30869 MiB
2025/08/01 15:57:43.507, 95 %, 30869 MiB
2025/08/01 15:58:43.508, 95 %, 30869 MiB
2025/08/01 15:59:43.510, 94 %, 30869 MiB
2025/08/01 16:00:43.511, 94 %, 30869 MiB
2025/08/01 16:01:43.513, 95 %, 30869 MiB
2025/08/01 16:02:43.514, 94 %, 30869 MiB
2025/08/01 16:03:43.515, 93 %, 30869 MiB
2025/08/01 16:04:43.517, 93 %, 30869 MiB
2025/08/01 16:05:43.519, 93 %, 30869 MiB
2025/08/01 16:06:43.520, 93 %, 30869 MiB
2025/08/01 16:07:43.522, 93 %, 30869 MiB
2025/08/01 16:08:43.524, 93 %, 30869 MiB
2025/08/01 16:09:43.525, 93 %, 30869 MiB
2025/08/01 16:10:43.527, 92 %, 30869 MiB
2025/08/01 16:11:43.529, 92 %, 30869 MiB
2025/08/01 16:12:43.529, 92 %, 30869 MiB
2025/08/01 16:13:43.531, 92 %, 30869 MiB
2025/08/01 16:14:43.532, 92 %, 30869 MiB
2025/08/01 16:15:43.533, 92 %, 30869 MiB
2025/08/01 16:16:43.533, 92 %, 30869 MiB
2025/08/01 16:17:43.534, 91 %, 30869 MiB
2025/08/01 16:18:43.535, 91 %, 30869 MiB
2025/08/01 16:19:43.535, 91 %, 30869 MiB
2025/08/01 16:20:43.536, 91 %, 30869 MiB
2025/08/01 16:21:43.538, 91 %, 30869 MiB
2025/08/01 16:22:43.539, 91 %, 30869 MiB
2025/08/01 16:23:43.541, 91 %, 30869 MiB
2025/08/01 16:24:43.542, 91 %, 30869 MiB
2025/08/01 16:25:43.543, 91 %, 30869 MiB
2025/08/01 16:26:43.544, 91 %, 30869 MiB
2025/08/01 16:27:43.544, 91 %, 30869 MiB
2025/08/01 16:28:43.577, 91 %, 30869 MiB
2025/08/01 16:29:43.578, 91 %, 30869 MiB
2025/08/01 16:30:43.579, 89 %, 30869 MiB
2025/08/01 16:31:43.580, 89 %, 30869 MiB
2025/08/01 16:32:43.581, 89 %, 30869 MiB
2025/08/01 16:33:43.583, 0 %, 16497 MiB
2025/08/01 16:34:43.584, 91 %, 16543 MiB
2025/08/01 16:35:43.586, 89 %, 16543 MiB
2025/08/01 16:36:43.586, 89 %, 16549 MiB
2025/08/01 16:37:43.588, 89 %, 16549 MiB
2025/08/01 16:38:43.589, 89 %, 16549 MiB
2025/08/01 16:39:43.590, 89 %, 16549 MiB
2025/08/01 16:40:43.591, 89 %, 16549 MiB
2025/08/01 16:41:43.592, 89 %, 16549 MiB
2025/08/01 16:42:43.593, 89 %, 16549 MiB
2025/08/01 16:43:43.594, 89 %, 16549 MiB
2025/08/01 16:44:43.595, 89 %, 16549 MiB
2025/08/01 16:45:43.597, 86 %, 16549 MiB
2025/08/01 16:46:43.598, 88 %, 16549 MiB
2025/08/01 16:47:43.599, 88 %, 16549 MiB
2025/08/01 16:48:43.601, 88 %, 16549 MiB
2025/08/01 16:49:43.603, 89 %, 16549 MiB
2025/08/01 16:50:43.604, 88 %, 16551 MiB
2025/08/01 16:51:43.605, 89 %, 16551 MiB
2025/08/01 16:52:43.607, 88 %, 16551 MiB
2025/08/01 16:53:43.608, 87 %, 16551 MiB
2025/08/01 16:54:43.609, 89 %, 16551 MiB
2025/08/01 16:55:43.610, 88 %, 16551 MiB
2025/08/01 16:56:43.611, 89 %, 16551 MiB
2025/08/01 16:57:43.612, 89 %, 16551 MiB
2025/08/01 16:58:43.614, 88 %, 16551 MiB
2025/08/01 16:59:43.616, 89 %, 16551 MiB
2025/08/01 17:00:43.617, 89 %, 16551 MiB
2025/08/01 17:01:43.618, 89 %, 16551 MiB
2025/08/01 17:02:43.620, 88 %, 16551 MiB
2025/08/01 17:03:43.621, 89 %, 16551 MiB
2025/08/01 17:04:43.623, 89 %, 16551 MiB
2025/08/01 17:05:43.624, 89 %, 16551 MiB
2025/08/01 17:06:43.626, 88 %, 16551 MiB
2025/08/01 17:07:43.627, 89 %, 16551 MiB
2025/08/01 17:08:43.629, 88 %, 16551 MiB
2025/08/01 17:09:43.631, 88 %, 16551 MiB
2025/08/01 17:10:43.632, 88 %, 16551 MiB
2025/08/01 17:11:43.633, 89 %, 16551 MiB
2025/08/01 17:12:43.635, 88 %, 16551 MiB
2025/08/01 17:13:43.636, 88 %, 16551 MiB
2025/08/01 17:14:43.637, 89 %, 16551 MiB
2025/08/01 17:15:43.639, 88 %, 16551 MiB
2025/08/01 17:16:43.640, 88 %, 16551 MiB
2025/08/01 17:17:43.642, 88 %, 16551 MiB
2025/08/01 17:18:43.643, 89 %, 16551 MiB
2025/08/01 17:19:43.644, 88 %, 16551 MiB
2025/08/01 17:20:43.645, 88 %, 16551 MiB
2025/08/01 17:21:43.646, 89 %, 16551 MiB
2025/08/01 17:22:43.647, 89 %, 16551 MiB
2025/08/01 17:23:43.649, 89 %, 16551 MiB
2025/08/01 17:24:43.650, 89 %, 16551 MiB
