==== New Run:
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/26 00:11:49.296, 0 %, 0 MiB
2025/07/26 00:12:49.308, 0 %, 16131 MiB
2025/07/26 00:13:49.309, 0 %, 16131 MiB
2025/07/26 00:14:49.311, 0 %, 16131 MiB
2025/07/26 00:15:49.313, 0 %, 16131 MiB
2025/07/26 00:16:49.314, 0 %, 16131 MiB
2025/07/26 00:17:49.316, 0 %, 16131 MiB
2025/07/26 00:18:49.317, 0 %, 16131 MiB
2025/07/26 00:19:49.318, 100 %, 30651 MiB
2025/07/26 00:20:49.320, 96 %, 30557 MiB
2025/07/26 00:21:49.322, 96 %, 30557 MiB
2025/07/26 00:22:49.323, 95 %, 30557 MiB
2025/07/26 00:23:49.324, 94 %, 30557 MiB
2025/07/26 00:24:49.325, 94 %, 30557 MiB
2025/07/26 00:25:49.327, 94 %, 30557 MiB
2025/07/26 00:26:49.329, 93 %, 30557 MiB
2025/07/26 00:27:49.330, 93 %, 30557 MiB
2025/07/26 00:28:49.331, 93 %, 30557 MiB
2025/07/26 00:29:49.333, 93 %, 30557 MiB
2025/07/26 00:30:49.335, 93 %, 30557 MiB
2025/07/26 00:31:49.336, 94 %, 30557 MiB
2025/07/26 00:32:49.338, 91 %, 30557 MiB
2025/07/26 00:33:49.339, 91 %, 30557 MiB
2025/07/26 00:34:49.341, 91 %, 30557 MiB
2025/07/26 00:35:49.342, 91 %, 30557 MiB
2025/07/26 00:36:49.344, 91 %, 30557 MiB
2025/07/26 00:37:49.345, 91 %, 30557 MiB
2025/07/26 00:38:49.346, 91 %, 30557 MiB
2025/07/26 00:39:49.348, 91 %, 30557 MiB
2025/07/26 00:40:49.349, 89 %, 30557 MiB
2025/07/26 00:41:49.351, 89 %, 30557 MiB
2025/07/26 00:42:49.352, 89 %, 30557 MiB
2025/07/26 00:43:49.353, 89 %, 30557 MiB
2025/07/26 00:44:49.354, 89 %, 30557 MiB
2025/07/26 00:45:49.355, 89 %, 30557 MiB
2025/07/26 00:46:49.355, 89 %, 30557 MiB
2025/07/26 00:47:49.356, 88 %, 30557 MiB
2025/07/26 00:48:49.356, 88 %, 30557 MiB
2025/07/26 00:49:49.357, 88 %, 30557 MiB
2025/07/26 00:50:49.357, 88 %, 30557 MiB
2025/07/26 00:51:49.358, 89 %, 30557 MiB
2025/07/26 00:52:49.358, 89 %, 30557 MiB
