timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/26 19:42:53.817, 0 %, 0 MiB
2025/07/26 19:43:53.823, 0 %, 15825 MiB
2025/07/26 19:44:53.825, 0 %, 15825 MiB
2025/07/26 19:45:53.827, 0 %, 15825 MiB
2025/07/26 19:46:53.829, 0 %, 15825 MiB
2025/07/26 19:47:53.831, 0 %, 15825 MiB
2025/07/26 19:48:53.833, 0 %, 15825 MiB
2025/07/26 19:49:53.835, 0 %, 15825 MiB
2025/07/26 19:50:53.837, 98 %, 28497 MiB
2025/07/26 19:51:53.839, 97 %, 28561 MiB
2025/07/26 19:52:53.841, 96 %, 28561 MiB
2025/07/26 19:53:53.843, 95 %, 28561 MiB
2025/07/26 19:54:53.844, 95 %, 28561 MiB
2025/07/26 19:55:53.846, 95 %, 28561 MiB
2025/07/26 19:56:53.847, 94 %, 28561 MiB
2025/07/26 19:57:53.849, 94 %, 28561 MiB
2025/07/26 19:58:53.850, 94 %, 28561 MiB
2025/07/26 19:59:53.851, 94 %, 28561 MiB
2025/07/26 20:00:53.853, 94 %, 28561 MiB
2025/07/26 20:01:53.854, 93 %, 28561 MiB
2025/07/26 20:02:53.855, 94 %, 28561 MiB
2025/07/26 20:03:53.857, 94 %, 28561 MiB
2025/07/26 20:04:53.858, 94 %, 28561 MiB
2025/07/26 20:05:53.859, 94 %, 28561 MiB
2025/07/26 20:06:53.860, 93 %, 28561 MiB
2025/07/26 20:07:53.861, 93 %, 28561 MiB
2025/07/26 20:08:53.862, 91 %, 28561 MiB
2025/07/26 20:09:53.864, 91 %, 28561 MiB
2025/07/26 20:10:53.864, 91 %, 28561 MiB
2025/07/26 20:11:53.866, 91 %, 28561 MiB
2025/07/26 20:12:53.866, 91 %, 28561 MiB
2025/07/26 20:13:53.867, 91 %, 28561 MiB
2025/07/26 20:14:53.869, 91 %, 28561 MiB
2025/07/26 20:15:53.870, 91 %, 28561 MiB
2025/07/26 20:16:53.872, 91 %, 28561 MiB
2025/07/26 20:17:53.873, 90 %, 28561 MiB
2025/07/26 20:18:53.875, 90 %, 28561 MiB
2025/07/26 20:19:53.876, 90 %, 28561 MiB
2025/07/26 20:20:53.877, 90 %, 28561 MiB
2025/07/26 20:21:53.878, 90 %, 28561 MiB
2025/07/26 20:22:53.879, 90 %, 28561 MiB
2025/07/26 20:23:53.881, 90 %, 28561 MiB
2025/07/26 20:24:53.882, 91 %, 28561 MiB
2025/07/26 20:25:53.884, 89 %, 28569 MiB
2025/07/26 20:26:53.885, 89 %, 28569 MiB
2025/07/26 20:27:53.887, 89 %, 28569 MiB
2025/07/26 20:28:53.888, 89 %, 28571 MiB
2025/07/26 20:29:53.890, 89 %, 28571 MiB
2025/07/26 20:30:53.891, 89 %, 28571 MiB
2025/07/26 20:31:53.893, 89 %, 28571 MiB
2025/07/26 20:32:53.894, 89 %, 28571 MiB
2025/07/26 20:33:53.895, 88 %, 28571 MiB
2025/07/26 20:34:53.897, 88 %, 28571 MiB
2025/07/26 20:35:53.898, 89 %, 28571 MiB
2025/07/26 20:36:53.900, 89 %, 28571 MiB
2025/07/26 20:37:53.901, 89 %, 28571 MiB
2025/07/26 20:38:53.902, 89 %, 28571 MiB
2025/07/26 20:39:53.902, 89 %, 28571 MiB
2025/07/26 20:40:53.903, 89 %, 28571 MiB
2025/07/26 20:41:53.903, 89 %, 28571 MiB
==== New Run: Sat Jul 26 21:30:31 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/26 21:30:31.212, 0 %, 0 MiB
==== New Run: Sat Jul 26 21:31:25 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/26 21:31:25.140, 0 %, 0 MiB
==== New Run: Sun Aug  3 22:36:33 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/03 22:36:33.404, 0 %, 130 MiB
2025/08/03 22:37:33.407, 0 %, 15968 MiB
2025/08/03 22:38:33.408, 0 %, 15968 MiB
2025/08/03 22:39:33.410, 0 %, 15968 MiB
2025/08/03 22:40:33.411, 0 %, 15968 MiB
