==== New Run: Fri Aug  8 19:24:32 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/08 19:24:32.532, 0 %, 130 MiB
2025/08/08 19:25:32.538, 0 %, 4068 MiB
2025/08/08 19:26:32.540, 0 %, 4068 MiB
2025/08/08 19:27:32.542, 0 %, 4068 MiB
2025/08/08 19:28:32.543, 0 %, 4068 MiB
2025/08/08 19:29:32.544, 94 %, 16338 MiB
==== New Run: Wed Aug 13 18:39:55 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/13 18:39:55.950, 0 %, 197 MiB
2025/08/13 18:40:55.953, 0 %, 2973 MiB
2025/08/13 18:41:55.955, 0 %, 2973 MiB
2025/08/13 18:42:55.957, 0 %, 2973 MiB
2025/08/13 18:43:55.958, 0 %, 2973 MiB
2025/08/13 18:44:55.960, 0 %, 2973 MiB
==== New Run: Wed Aug 13 20:07:00 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/13 20:07:00.545, 0 %, 197 MiB
==== New Run: Thu Aug 14 03:40:08 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/14 03:40:08.346, 100 %, 197 MiB
2025/08/14 03:41:08.349, 0 %, 4281 MiB
2025/08/14 03:42:08.353, 0 %, 4281 MiB
2025/08/14 03:43:08.355, 0 %, 4281 MiB
2025/08/14 03:44:08.356, 0 %, 4281 MiB
2025/08/14 03:45:08.357, 92 %, 16551 MiB
2025/08/14 03:46:08.358, 93 %, 16551 MiB
2025/08/14 03:47:08.359, 88 %, 16551 MiB
2025/08/14 03:48:08.360, 88 %, 16551 MiB
2025/08/14 03:49:08.361, 89 %, 16551 MiB
2025/08/14 03:50:08.362, 84 %, 16551 MiB
2025/08/14 03:51:08.363, 84 %, 16551 MiB
2025/08/14 03:52:08.364, 84 %, 16551 MiB
2025/08/14 03:53:08.365, 83 %, 16551 MiB
2025/08/14 03:54:08.366, 83 %, 16551 MiB
2025/08/14 03:55:08.367, 83 %, 16551 MiB
2025/08/14 03:56:08.368, 81 %, 16551 MiB
2025/08/14 03:57:08.369, 81 %, 16551 MiB
2025/08/14 03:58:08.370, 81 %, 16551 MiB
2025/08/14 03:59:08.371, 80 %, 16551 MiB
2025/08/14 04:00:08.371, 80 %, 16551 MiB
2025/08/14 04:01:08.372, 81 %, 16559 MiB
2025/08/14 04:02:08.374, 71 %, 16561 MiB
2025/08/14 04:03:08.376, 71 %, 16561 MiB
2025/08/14 04:04:08.376, 80 %, 16561 MiB
2025/08/14 04:05:08.377, 80 %, 16561 MiB
2025/08/14 04:06:08.378, 80 %, 16561 MiB
2025/08/14 04:07:08.379, 81 %, 16561 MiB
2025/08/14 04:08:08.381, 80 %, 16561 MiB
2025/08/14 04:09:08.382, 80 %, 16561 MiB
2025/08/14 04:10:08.383, 80 %, 16561 MiB
2025/08/14 04:11:08.385, 80 %, 16561 MiB
2025/08/14 04:12:08.386, 80 %, 16561 MiB
2025/08/14 04:13:08.388, 79 %, 16561 MiB
2025/08/14 04:14:08.390, 80 %, 16561 MiB
