==== New Run: Wed Aug  6 17:26:11 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/06 17:26:11.887, 0 %, 130 MiB
2025/08/06 17:27:11.890, 0 %, 15184 MiB
2025/08/06 17:28:11.891, 0 %, 15184 MiB
2025/08/06 17:29:11.894, 0 %, 15184 MiB
2025/08/06 17:30:11.896, 0 %, 15184 MiB
2025/08/06 17:31:11.898, 0 %, 15184 MiB
2025/08/06 17:32:11.900, 96 %, 29026 MiB
2025/08/06 17:33:11.901, 96 %, 29026 MiB
2025/08/06 17:34:11.903, 96 %, 29026 MiB
2025/08/06 17:35:11.904, 95 %, 29026 MiB
2025/08/06 17:36:11.906, 94 %, 29026 MiB
2025/08/06 17:37:11.907, 94 %, 29026 MiB
2025/08/06 17:38:11.909, 94 %, 29026 MiB
2025/08/06 17:39:11.911, 95 %, 29026 MiB
2025/08/06 17:40:11.912, 94 %, 29026 MiB
2025/08/06 17:41:11.914, 94 %, 29026 MiB
2025/08/06 17:42:11.915, 94 %, 29026 MiB
2025/08/06 17:43:11.917, 94 %, 29026 MiB
2025/08/06 17:44:11.919, 94 %, 29026 MiB
2025/08/06 17:45:11.920, 94 %, 29026 MiB
2025/08/06 17:46:11.922, 94 %, 29026 MiB
2025/08/06 17:47:11.923, 94 %, 29026 MiB
2025/08/06 17:48:11.925, 94 %, 29026 MiB
2025/08/06 17:49:11.927, 94 %, 29026 MiB
2025/08/06 17:50:11.928, 94 %, 29026 MiB
2025/08/06 17:51:11.930, 94 %, 29026 MiB
2025/08/06 17:52:11.932, 94 %, 29026 MiB
2025/08/06 17:53:11.934, 94 %, 29026 MiB
2025/08/06 17:54:11.936, 94 %, 29026 MiB
2025/08/06 17:55:11.938, 93 %, 29026 MiB
2025/08/06 17:56:11.940, 94 %, 29026 MiB
2025/08/06 17:57:11.941, 93 %, 29026 MiB
2025/08/06 17:58:11.943, 93 %, 29026 MiB
2025/08/06 17:59:11.944, 91 %, 29026 MiB
2025/08/06 18:00:11.945, 90 %, 29026 MiB
2025/08/06 18:01:11.945, 90 %, 29026 MiB
2025/08/06 18:02:11.945, 90 %, 29026 MiB
2025/08/06 18:03:11.945, 90 %, 29026 MiB
2025/08/06 18:04:11.946, 88 %, 29026 MiB
2025/08/06 18:05:11.947, 90 %, 29026 MiB
2025/08/06 18:06:11.948, 90 %, 29026 MiB
2025/08/06 18:07:11.949, 90 %, 29026 MiB
2025/08/06 18:08:11.950, 90 %, 29028 MiB
2025/08/06 18:09:11.951, 90 %, 29028 MiB
2025/08/06 18:10:11.951, 90 %, 29028 MiB
2025/08/06 18:11:11.952, 90 %, 29030 MiB
2025/08/06 18:12:11.952, 91 %, 29030 MiB
2025/08/06 18:13:11.953, 89 %, 29030 MiB
2025/08/06 18:14:11.954, 90 %, 29030 MiB
2025/08/06 18:15:11.955, 90 %, 29030 MiB
2025/08/06 18:16:11.957, 90 %, 29030 MiB
2025/08/06 18:17:11.958, 90 %, 29030 MiB
2025/08/06 18:18:11.959, 90 %, 29030 MiB
2025/08/06 18:19:11.960, 90 %, 29030 MiB
2025/08/06 18:20:11.961, 90 %, 29030 MiB
2025/08/06 18:21:11.962, 90 %, 29030 MiB
2025/08/06 18:22:11.963, 90 %, 29030 MiB
2025/08/06 18:23:11.964, 90 %, 29030 MiB
2025/08/06 18:24:11.966, 90 %, 29030 MiB
2025/08/06 18:25:11.967, 90 %, 29030 MiB
2025/08/06 18:26:11.968, 90 %, 29030 MiB
2025/08/06 18:27:11.974, 90 %, 29030 MiB
2025/08/06 18:28:11.975, 90 %, 29030 MiB
2025/08/06 18:29:11.977, 90 %, 29030 MiB
2025/08/06 18:30:11.978, 90 %, 29030 MiB
2025/08/06 18:31:11.979, 89 %, 29030 MiB
2025/08/06 18:32:11.980, 90 %, 29030 MiB
2025/08/06 18:33:11.982, 90 %, 29030 MiB
2025/08/06 18:34:11.983, 90 %, 29030 MiB
2025/08/06 18:35:11.984, 90 %, 29030 MiB
2025/08/06 18:36:11.986, 89 %, 29030 MiB
2025/08/06 18:37:11.987, 90 %, 29030 MiB
2025/08/06 18:38:11.989, 90 %, 29030 MiB
2025/08/06 18:39:11.990, 90 %, 29030 MiB
2025/08/06 18:40:11.991, 90 %, 29030 MiB
2025/08/06 18:41:11.993, 89 %, 29030 MiB
2025/08/06 18:42:11.994, 89 %, 29030 MiB
