==== New Run: Thu Aug  7 18:04:08 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/07 18:04:08.869, 0 %, 130 MiB
2025/08/07 18:05:08.872, 0 %, 13818 MiB
2025/08/07 18:06:08.875, 0 %, 13818 MiB
2025/08/07 18:07:08.877, 0 %, 13818 MiB
2025/08/07 18:08:08.879, 0 %, 13818 MiB
2025/08/07 18:09:08.880, 0 %, 13818 MiB
2025/08/07 18:10:08.882, 98 %, 19396 MiB
2025/08/07 18:11:08.883, 97 %, 19396 MiB
2025/08/07 18:12:08.885, 96 %, 19399 MiB
2025/08/07 18:13:08.886, 96 %, 19399 MiB
2025/08/07 18:14:08.888, 95 %, 19399 MiB
2025/08/07 18:15:08.889, 95 %, 19399 MiB
2025/08/07 18:16:08.891, 95 %, 19399 MiB
2025/08/07 18:17:08.892, 95 %, 19399 MiB
2025/08/07 18:18:08.894, 95 %, 19399 MiB
2025/08/07 18:19:08.896, 95 %, 19396 MiB
2025/08/07 18:20:08.897, 94 %, 19396 MiB
2025/08/07 18:21:08.899, 95 %, 19396 MiB
2025/08/07 18:22:08.900, 94 %, 19460 MiB
2025/08/07 18:23:08.902, 94 %, 19460 MiB
2025/08/07 18:24:08.903, 94 %, 19460 MiB
2025/08/07 18:25:08.905, 94 %, 19460 MiB
2025/08/07 18:26:08.907, 93 %, 19460 MiB
2025/08/07 18:27:08.909, 93 %, 19460 MiB
2025/08/07 18:28:08.910, 93 %, 19460 MiB
2025/08/07 18:29:08.911, 92 %, 19460 MiB
2025/08/07 18:30:08.911, 92 %, 19460 MiB
2025/08/07 18:31:08.912, 92 %, 19460 MiB
2025/08/07 18:32:08.913, 92 %, 19460 MiB
2025/08/07 18:33:08.915, 92 %, 19460 MiB
2025/08/07 18:34:08.915, 92 %, 19460 MiB
2025/08/07 18:35:08.917, 92 %, 19460 MiB
2025/08/07 18:36:08.918, 93 %, 19460 MiB
2025/08/07 18:37:08.919, 92 %, 19460 MiB
2025/08/07 18:38:08.920, 93 %, 19460 MiB
2025/08/07 18:39:08.922, 93 %, 19460 MiB
2025/08/07 18:40:08.923, 93 %, 19460 MiB
2025/08/07 18:41:08.924, 93 %, 19460 MiB
2025/08/07 18:42:08.926, 93 %, 19460 MiB
2025/08/07 18:43:08.927, 90 %, 19460 MiB
2025/08/07 18:44:08.928, 90 %, 19460 MiB
2025/08/07 18:45:08.929, 91 %, 19460 MiB
2025/08/07 18:46:08.930, 91 %, 19460 MiB
2025/08/07 18:47:08.932, 87 %, 19460 MiB
2025/08/07 18:48:08.933, 90 %, 19460 MiB
2025/08/07 18:49:08.934, 90 %, 19480 MiB
2025/08/07 18:50:08.935, 90 %, 19480 MiB
2025/08/07 18:51:08.937, 90 %, 19480 MiB
2025/08/07 18:52:08.939, 91 %, 19480 MiB
2025/08/07 18:53:08.940, 90 %, 19480 MiB
2025/08/07 18:54:08.942, 91 %, 19480 MiB
2025/08/07 18:55:08.943, 91 %, 19480 MiB
2025/08/07 18:56:08.944, 90 %, 19480 MiB
2025/08/07 18:57:08.946, 90 %, 19480 MiB
2025/08/07 18:58:08.947, 90 %, 19480 MiB
2025/08/07 18:59:08.949, 90 %, 19480 MiB
2025/08/07 19:00:08.950, 90 %, 19480 MiB
2025/08/07 19:01:08.952, 90 %, 19480 MiB
2025/08/07 19:02:08.953, 90 %, 19480 MiB
2025/08/07 19:03:08.953, 90 %, 19480 MiB
2025/08/07 19:04:08.954, 90 %, 19480 MiB
2025/08/07 19:05:08.954, 91 %, 19480 MiB
2025/08/07 19:06:08.955, 90 %, 19480 MiB
2025/08/07 19:07:08.955, 89 %, 19482 MiB
2025/08/07 19:08:08.956, 89 %, 19482 MiB
2025/08/07 19:09:08.957, 89 %, 19482 MiB
2025/08/07 19:10:08.957, 89 %, 19482 MiB
2025/08/07 19:11:08.958, 89 %, 19482 MiB
2025/08/07 19:12:08.960, 89 %, 19482 MiB
2025/08/07 19:13:08.961, 89 %, 19482 MiB
2025/08/07 19:14:08.961, 88 %, 19482 MiB
2025/08/07 19:15:08.962, 100 %, 19482 MiB
2025/08/07 19:16:08.964, 89 %, 19482 MiB
2025/08/07 19:17:08.965, 92 %, 19482 MiB
2025/08/07 19:18:08.965, 88 %, 19482 MiB
2025/08/07 19:19:08.966, 92 %, 19482 MiB
2025/08/07 19:20:08.967, 92 %, 19482 MiB
2025/08/07 19:21:08.967, 92 %, 19482 MiB
2025/08/07 19:22:08.968, 91 %, 19482 MiB
2025/08/07 19:23:08.970, 88 %, 19482 MiB
2025/08/07 19:24:08.971, 92 %, 19482 MiB
2025/08/07 19:25:08.971, 88 %, 19482 MiB
2025/08/07 19:26:08.973, 100 %, 19482 MiB
2025/08/07 19:27:08.975, 87 %, 19482 MiB
2025/08/07 19:28:08.975, 92 %, 19482 MiB
2025/08/07 19:29:08.976, 100 %, 19482 MiB
2025/08/07 19:30:08.977, 87 %, 19482 MiB
2025/08/07 19:31:08.978, 98 %, 19482 MiB
2025/08/07 19:32:08.980, 88 %, 19482 MiB
2025/08/07 19:33:08.981, 87 %, 19482 MiB
2025/08/07 19:34:08.982, 87 %, 26264 MiB
2025/08/07 19:35:08.983, 86 %, 26264 MiB
2025/08/07 19:36:08.985, 87 %, 26264 MiB
2025/08/07 19:37:08.986, 87 %, 26264 MiB
2025/08/07 19:38:08.988, 85 %, 26264 MiB
2025/08/07 19:39:08.989, 86 %, 26264 MiB
2025/08/07 19:40:08.991, 91 %, 26264 MiB
2025/08/07 19:41:08.993, 90 %, 26264 MiB
2025/08/07 19:42:08.994, 87 %, 26264 MiB
2025/08/07 19:43:08.996, 92 %, 26264 MiB
2025/08/07 19:44:08.998, 90 %, 26264 MiB
2025/08/07 19:45:09.000, 88 %, 26264 MiB
2025/08/07 19:46:09.002, 88 %, 26264 MiB
2025/08/07 19:47:09.003, 87 %, 26264 MiB
2025/08/07 19:48:09.004, 92 %, 26264 MiB
2025/08/07 19:49:09.006, 91 %, 26264 MiB
2025/08/07 19:50:09.007, 87 %, 26264 MiB
2025/08/07 19:51:09.008, 87 %, 26264 MiB
2025/08/07 19:52:09.010, 92 %, 26264 MiB
2025/08/07 19:53:09.011, 91 %, 26264 MiB
2025/08/07 19:54:09.012, 88 %, 26264 MiB
2025/08/07 19:55:09.013, 89 %, 26264 MiB
2025/08/07 19:56:09.015, 87 %, 26264 MiB
2025/08/07 19:57:09.017, 87 %, 26264 MiB
2025/08/07 19:58:09.018, 91 %, 26264 MiB
2025/08/07 19:59:09.019, 87 %, 26264 MiB
2025/08/07 20:00:09.020, 92 %, 26264 MiB
2025/08/07 20:01:09.022, 92 %, 26264 MiB
2025/08/07 20:02:09.023, 92 %, 26264 MiB
2025/08/07 20:03:09.025, 86 %, 26264 MiB
2025/08/07 20:04:09.027, 91 %, 26264 MiB
2025/08/07 20:05:09.028, 92 %, 26264 MiB
2025/08/07 20:06:09.029, 92 %, 26264 MiB
2025/08/07 20:07:09.031, 91 %, 26264 MiB
2025/08/07 20:08:09.032, 91 %, 26264 MiB
2025/08/07 20:09:09.034, 91 %, 26264 MiB
2025/08/07 20:10:09.036, 91 %, 26264 MiB
2025/08/07 20:11:09.036, 85 %, 26264 MiB
2025/08/07 20:12:09.037, 91 %, 26264 MiB
2025/08/07 20:13:09.038, 92 %, 26264 MiB
2025/08/07 20:14:09.038, 91 %, 26264 MiB
2025/08/07 20:15:09.039, 91 %, 26264 MiB
2025/08/07 20:16:09.040, 91 %, 26264 MiB
2025/08/07 20:17:09.040, 87 %, 26264 MiB
2025/08/07 20:18:09.041, 92 %, 26264 MiB
2025/08/07 20:19:09.041, 92 %, 26264 MiB
2025/08/07 20:20:09.042, 91 %, 26264 MiB
2025/08/07 20:21:09.042, 91 %, 26264 MiB
2025/08/07 20:22:09.043, 92 %, 26264 MiB
2025/08/07 20:23:09.044, 87 %, 26264 MiB
2025/08/07 20:24:09.045, 92 %, 26264 MiB
2025/08/07 20:25:09.045, 87 %, 26264 MiB
2025/08/07 20:26:09.046, 91 %, 26264 MiB
2025/08/07 20:27:09.047, 91 %, 26264 MiB
2025/08/07 20:28:09.047, 92 %, 26264 MiB
2025/08/07 20:29:09.048, 92 %, 26264 MiB
2025/08/07 20:30:09.049, 91 %, 26264 MiB
