==== New Run: Thu Aug  7 07:57:06 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/07 07:57:06.549, 100 %, 130 MiB
2025/08/07 07:58:06.552, 0 %, 13818 MiB
2025/08/07 07:59:06.555, 0 %, 13818 MiB
2025/08/07 08:00:06.557, 0 %, 13818 MiB
2025/08/07 08:01:06.559, 0 %, 13818 MiB
2025/08/07 08:02:06.560, 0 %, 13818 MiB
2025/08/07 08:03:06.562, 98 %, 19396 MiB
2025/08/07 08:04:06.563, 97 %, 19396 MiB
2025/08/07 08:05:06.564, 96 %, 19396 MiB
2025/08/07 08:06:06.566, 96 %, 19396 MiB
2025/08/07 08:07:06.567, 95 %, 19396 MiB
2025/08/07 08:08:06.568, 95 %, 19396 MiB
2025/08/07 08:09:06.570, 95 %, 19396 MiB
2025/08/07 08:10:06.571, 95 %, 19396 MiB
2025/08/07 08:11:06.573, 94 %, 19396 MiB
2025/08/07 08:12:06.574, 95 %, 19396 MiB
2025/08/07 08:13:06.576, 95 %, 19396 MiB
2025/08/07 08:14:06.576, 95 %, 19396 MiB
2025/08/07 08:15:06.577, 93 %, 19460 MiB
2025/08/07 08:16:06.577, 94 %, 19460 MiB
2025/08/07 08:17:06.577, 94 %, 19460 MiB
2025/08/07 08:18:06.582, 93 %, 19460 MiB
2025/08/07 08:19:06.582, 93 %, 19460 MiB
2025/08/07 08:20:06.583, 93 %, 19460 MiB
2025/08/07 08:21:06.583, 93 %, 19460 MiB
2025/08/07 08:22:06.584, 92 %, 19460 MiB
2025/08/07 08:23:06.586, 92 %, 19460 MiB
2025/08/07 08:24:06.587, 92 %, 19460 MiB
2025/08/07 08:25:06.588, 92 %, 19460 MiB
2025/08/07 08:26:06.590, 92 %, 19460 MiB
2025/08/07 08:27:06.591, 92 %, 19460 MiB
2025/08/07 08:28:06.592, 92 %, 19460 MiB
2025/08/07 08:29:06.594, 93 %, 19460 MiB
2025/08/07 08:30:06.595, 93 %, 19460 MiB
2025/08/07 08:31:06.597, 93 %, 19460 MiB
2025/08/07 08:32:06.598, 93 %, 19460 MiB
2025/08/07 08:33:06.600, 93 %, 19460 MiB
2025/08/07 08:34:06.601, 93 %, 19460 MiB
2025/08/07 08:35:06.602, 92 %, 19460 MiB
2025/08/07 08:36:06.604, 91 %, 19460 MiB
2025/08/07 08:37:06.605, 90 %, 19460 MiB
2025/08/07 08:38:06.607, 91 %, 19460 MiB
2025/08/07 08:39:06.608, 92 %, 19460 MiB
2025/08/07 08:40:06.610, 92 %, 19460 MiB
2025/08/07 08:41:06.611, 92 %, 19460 MiB
2025/08/07 08:42:06.612, 91 %, 19460 MiB
2025/08/07 08:43:06.614, 91 %, 19460 MiB
2025/08/07 08:44:06.615, 87 %, 19460 MiB
2025/08/07 08:45:06.616, 90 %, 19460 MiB
2025/08/07 08:46:06.618, 91 %, 19460 MiB
2025/08/07 08:47:06.619, 91 %, 19460 MiB
2025/08/07 08:48:06.620, 90 %, 19460 MiB
2025/08/07 08:49:06.620, 91 %, 19460 MiB
2025/08/07 08:50:06.622, 91 %, 19460 MiB
2025/08/07 08:51:06.623, 85 %, 19460 MiB
2025/08/07 08:52:06.624, 91 %, 19480 MiB
2025/08/07 08:53:06.625, 91 %, 19480 MiB
2025/08/07 08:54:06.626, 90 %, 19480 MiB
2025/08/07 08:55:06.627, 90 %, 19480 MiB
2025/08/07 08:56:06.629, 90 %, 19480 MiB
2025/08/07 08:57:06.630, 91 %, 19480 MiB
2025/08/07 08:58:06.631, 90 %, 19480 MiB
2025/08/07 08:59:06.633, 91 %, 19480 MiB
2025/08/07 09:00:06.634, 91 %, 19480 MiB
2025/08/07 09:01:06.635, 91 %, 19480 MiB
2025/08/07 09:02:06.636, 90 %, 19480 MiB
2025/08/07 09:03:06.638, 91 %, 19480 MiB
2025/08/07 09:04:06.639, 91 %, 19480 MiB
2025/08/07 09:05:06.640, 90 %, 19480 MiB
2025/08/07 09:06:06.641, 91 %, 19480 MiB
2025/08/07 09:07:06.643, 90 %, 19480 MiB
2025/08/07 09:08:06.644, 91 %, 19480 MiB
2025/08/07 09:09:06.646, 90 %, 19480 MiB
2025/08/07 09:10:06.647, 90 %, 19480 MiB
2025/08/07 09:11:06.648, 91 %, 19480 MiB
2025/08/07 09:12:06.650, 90 %, 19480 MiB
2025/08/07 09:13:06.651, 89 %, 19480 MiB
2025/08/07 09:14:06.653, 91 %, 19480 MiB
2025/08/07 09:15:06.654, 90 %, 19480 MiB
2025/08/07 09:16:06.655, 90 %, 19480 MiB
2025/08/07 09:17:06.657, 91 %, 19480 MiB
2025/08/07 09:18:06.658, 91 %, 19480 MiB
2025/08/07 09:19:06.659, 90 %, 19480 MiB
2025/08/07 09:20:06.661, 91 %, 19480 MiB
2025/08/07 09:21:06.662, 90 %, 19480 MiB
2025/08/07 09:22:06.663, 91 %, 19480 MiB
2025/08/07 09:23:06.665, 91 %, 19480 MiB
2025/08/07 09:24:06.666, 91 %, 19480 MiB
2025/08/07 09:25:06.668, 90 %, 19480 MiB
2025/08/07 09:26:06.669, 91 %, 19480 MiB
2025/08/07 09:27:06.670, 91 %, 19480 MiB
2025/08/07 09:28:06.672, 90 %, 19480 MiB
2025/08/07 09:29:06.673, 91 %, 19480 MiB
2025/08/07 09:30:06.674, 90 %, 19480 MiB
2025/08/07 09:31:06.676, 90 %, 19480 MiB
2025/08/07 09:32:06.676, 90 %, 19480 MiB
2025/08/07 09:33:06.678, 90 %, 19480 MiB
2025/08/07 09:34:06.679, 91 %, 19480 MiB
2025/08/07 09:35:06.680, 91 %, 19480 MiB
2025/08/07 09:36:06.681, 91 %, 19480 MiB
2025/08/07 09:37:06.682, 90 %, 19480 MiB
2025/08/07 09:38:06.683, 90 %, 19480 MiB
2025/08/07 09:39:06.685, 91 %, 19480 MiB
2025/08/07 09:40:06.686, 91 %, 19480 MiB
2025/08/07 09:41:06.688, 90 %, 19480 MiB
2025/08/07 09:42:06.689, 90 %, 19480 MiB
2025/08/07 09:43:06.690, 91 %, 19480 MiB
2025/08/07 09:44:06.692, 90 %, 19480 MiB
2025/08/07 09:45:06.693, 90 %, 19480 MiB
2025/08/07 09:46:06.694, 90 %, 19480 MiB
2025/08/07 09:47:06.696, 91 %, 19480 MiB
2025/08/07 09:48:06.697, 91 %, 19480 MiB
2025/08/07 09:49:06.698, 91 %, 19480 MiB
2025/08/07 09:50:06.700, 91 %, 19480 MiB
2025/08/07 09:51:06.704, 90 %, 19480 MiB
2025/08/07 09:52:06.705, 90 %, 19480 MiB
2025/08/07 09:53:06.706, 90 %, 19480 MiB
2025/08/07 09:54:06.708, 91 %, 19480 MiB
2025/08/07 09:55:06.709, 91 %, 19480 MiB
2025/08/07 09:56:06.711, 91 %, 19480 MiB
2025/08/07 09:57:06.714, 91 %, 19480 MiB
2025/08/07 09:58:06.716, 91 %, 19480 MiB
2025/08/07 09:59:06.719, 91 %, 19480 MiB
2025/08/07 10:00:06.720, 90 %, 19480 MiB
2025/08/07 10:01:06.722, 91 %, 19480 MiB
2025/08/07 10:02:06.723, 91 %, 19480 MiB
2025/08/07 10:03:06.725, 91 %, 19480 MiB
2025/08/07 10:04:06.726, 91 %, 19480 MiB
2025/08/07 10:05:06.728, 91 %, 19480 MiB
2025/08/07 10:06:06.729, 91 %, 19480 MiB
2025/08/07 10:07:06.731, 91 %, 19480 MiB
2025/08/07 10:08:06.732, 90 %, 19480 MiB
2025/08/07 10:09:06.734, 91 %, 19480 MiB
2025/08/07 10:10:06.736, 91 %, 19480 MiB
2025/08/07 10:11:06.737, 90 %, 19480 MiB
2025/08/07 10:12:06.738, 90 %, 19480 MiB
2025/08/07 10:13:06.739, 91 %, 19480 MiB
2025/08/07 10:14:06.741, 90 %, 19480 MiB
2025/08/07 10:15:06.742, 91 %, 19480 MiB
2025/08/07 10:16:06.744, 90 %, 19480 MiB
2025/08/07 10:17:06.745, 90 %, 19480 MiB
2025/08/07 10:18:06.746, 90 %, 19480 MiB
2025/08/07 10:19:06.748, 90 %, 19480 MiB
2025/08/07 10:20:06.749, 91 %, 19480 MiB
2025/08/07 10:21:06.751, 91 %, 19480 MiB
2025/08/07 10:22:06.752, 100 %, 19482 MiB
2025/08/07 10:23:06.754, 89 %, 19482 MiB
2025/08/07 10:24:06.756, 89 %, 19482 MiB
2025/08/07 10:25:06.757, 89 %, 19482 MiB
2025/08/07 10:26:06.758, 89 %, 19482 MiB
2025/08/07 10:27:06.760, 89 %, 19482 MiB
2025/08/07 10:28:06.761, 89 %, 19482 MiB
2025/08/07 10:29:06.763, 89 %, 19482 MiB
2025/08/07 10:30:06.764, 89 %, 19482 MiB
2025/08/07 10:31:06.763, 92 %, 19482 MiB
2025/08/07 10:32:06.763, 92 %, 19482 MiB
2025/08/07 10:33:06.763, 89 %, 19482 MiB
2025/08/07 10:34:06.764, 92 %, 19482 MiB
2025/08/07 10:35:06.764, 89 %, 19482 MiB
2025/08/07 10:36:06.765, 88 %, 19482 MiB
2025/08/07 10:37:06.765, 92 %, 19482 MiB
2025/08/07 10:38:06.765, 89 %, 19482 MiB
2025/08/07 10:39:06.766, 89 %, 19482 MiB
2025/08/07 10:40:06.766, 92 %, 19482 MiB
2025/08/07 10:41:06.767, 88 %, 19482 MiB
2025/08/07 10:42:06.767, 89 %, 19482 MiB
2025/08/07 10:43:06.768, 89 %, 19482 MiB
2025/08/07 10:44:06.769, 93 %, 19482 MiB
2025/08/07 10:45:06.770, 89 %, 19482 MiB
2025/08/07 10:46:06.771, 89 %, 19482 MiB
2025/08/07 10:47:06.772, 89 %, 19482 MiB
2025/08/07 10:48:06.772, 92 %, 19482 MiB
2025/08/07 10:49:06.774, 92 %, 19482 MiB
2025/08/07 10:50:06.775, 92 %, 19482 MiB
2025/08/07 10:51:06.775, 92 %, 19482 MiB
2025/08/07 10:52:06.777, 87 %, 19482 MiB
2025/08/07 10:53:06.777, 87 %, 19482 MiB
2025/08/07 10:54:06.779, 89 %, 19482 MiB
2025/08/07 10:55:06.780, 92 %, 26264 MiB
2025/08/07 10:56:06.781, 88 %, 26264 MiB
2025/08/07 10:57:06.783, 91 %, 26264 MiB
2025/08/07 10:58:06.784, 87 %, 26264 MiB
2025/08/07 10:59:06.785, 86 %, 26264 MiB
2025/08/07 11:00:06.787, 91 %, 26264 MiB
2025/08/07 11:01:06.788, 91 %, 26264 MiB
2025/08/07 11:02:06.789, 91 %, 26264 MiB
