==== New Run: Wed Aug  6 23:54:52 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/06 23:54:52.069, 100 %, 130 MiB
2025/08/06 23:55:52.072, 0 %, 13822 MiB
2025/08/06 23:56:52.074, 0 %, 13822 MiB
2025/08/06 23:57:52.075, 0 %, 13822 MiB
2025/08/06 23:58:52.077, 0 %, 13822 MiB
2025/08/06 23:59:52.079, 0 %, 13822 MiB
2025/08/07 00:00:52.080, 97 %, 19425 MiB
2025/08/07 00:01:52.082, 97 %, 19425 MiB
2025/08/07 00:02:52.083, 96 %, 19425 MiB
2025/08/07 00:03:52.085, 96 %, 19425 MiB
2025/08/07 00:04:52.086, 95 %, 19425 MiB
2025/08/07 00:05:52.088, 95 %, 19425 MiB
2025/08/07 00:06:52.089, 95 %, 19425 MiB
2025/08/07 00:07:52.091, 95 %, 19425 MiB
2025/08/07 00:08:52.092, 95 %, 19425 MiB
2025/08/07 00:09:52.093, 95 %, 19425 MiB
2025/08/07 00:10:52.095, 95 %, 19425 MiB
2025/08/07 00:11:52.096, 95 %, 19422 MiB
2025/08/07 00:12:52.098, 94 %, 19486 MiB
2025/08/07 00:13:52.099, 94 %, 19486 MiB
2025/08/07 00:14:52.100, 94 %, 19486 MiB
2025/08/07 00:15:52.102, 94 %, 19486 MiB
2025/08/07 00:16:52.102, 93 %, 19486 MiB
2025/08/07 00:17:52.103, 93 %, 19486 MiB
2025/08/07 00:18:52.104, 93 %, 19486 MiB
2025/08/07 00:19:52.104, 92 %, 19486 MiB
2025/08/07 00:20:52.105, 92 %, 19486 MiB
2025/08/07 00:21:52.105, 92 %, 19486 MiB
2025/08/07 00:22:52.105, 92 %, 19486 MiB
2025/08/07 00:23:52.106, 92 %, 19486 MiB
2025/08/07 00:24:52.107, 92 %, 19486 MiB
2025/08/07 00:25:52.108, 92 %, 19486 MiB
2025/08/07 00:26:52.110, 93 %, 19486 MiB
2025/08/07 00:27:52.111, 93 %, 19486 MiB
2025/08/07 00:28:52.112, 93 %, 19486 MiB
2025/08/07 00:29:52.114, 92 %, 19486 MiB
2025/08/07 00:30:52.117, 93 %, 19486 MiB
2025/08/07 00:31:52.119, 92 %, 19486 MiB
2025/08/07 00:32:52.120, 93 %, 19486 MiB
2025/08/07 00:33:52.121, 91 %, 19486 MiB
2025/08/07 00:34:52.122, 91 %, 19486 MiB
2025/08/07 00:35:52.124, 91 %, 19486 MiB
2025/08/07 00:36:52.125, 91 %, 19486 MiB
2025/08/07 00:37:52.126, 91 %, 19486 MiB
2025/08/07 00:38:52.127, 91 %, 19486 MiB
2025/08/07 00:39:52.129, 91 %, 19486 MiB
2025/08/07 00:40:52.130, 90 %, 19486 MiB
2025/08/07 00:41:52.131, 91 %, 19486 MiB
2025/08/07 00:42:52.133, 91 %, 19486 MiB
2025/08/07 00:43:52.134, 91 %, 19486 MiB
2025/08/07 00:44:52.135, 91 %, 19486 MiB
2025/08/07 00:45:52.136, 91 %, 19506 MiB
2025/08/07 00:46:52.137, 91 %, 19506 MiB
2025/08/07 00:47:52.138, 90 %, 19506 MiB
2025/08/07 00:48:52.139, 90 %, 19506 MiB
2025/08/07 00:49:52.141, 91 %, 19506 MiB
2025/08/07 00:50:52.140, 91 %, 19506 MiB
2025/08/07 00:51:52.141, 91 %, 19506 MiB
2025/08/07 00:52:52.142, 91 %, 19506 MiB
2025/08/07 00:53:52.143, 91 %, 19506 MiB
2025/08/07 00:54:52.144, 91 %, 19506 MiB
2025/08/07 00:55:52.145, 91 %, 19506 MiB
2025/08/07 00:56:52.146, 91 %, 19506 MiB
2025/08/07 00:57:52.147, 91 %, 19506 MiB
2025/08/07 00:58:52.148, 90 %, 19506 MiB
2025/08/07 00:59:52.150, 91 %, 19506 MiB
2025/08/07 01:00:52.151, 90 %, 19506 MiB
2025/08/07 01:01:52.152, 90 %, 19506 MiB
2025/08/07 01:02:52.153, 91 %, 19506 MiB
2025/08/07 01:03:52.154, 90 %, 19506 MiB
2025/08/07 01:04:52.155, 91 %, 19506 MiB
2025/08/07 01:05:52.157, 91 %, 19506 MiB
2025/08/07 01:06:52.158, 91 %, 19506 MiB
2025/08/07 01:07:52.160, 91 %, 19506 MiB
2025/08/07 01:08:52.161, 91 %, 19506 MiB
2025/08/07 01:09:52.162, 90 %, 19506 MiB
2025/08/07 01:10:52.164, 90 %, 19506 MiB
2025/08/07 01:11:52.165, 91 %, 19506 MiB
2025/08/07 01:12:52.170, 91 %, 19506 MiB
2025/08/07 01:13:52.171, 91 %, 19506 MiB
2025/08/07 01:14:52.172, 91 %, 19506 MiB
2025/08/07 01:15:52.173, 91 %, 19506 MiB
2025/08/07 01:16:52.174, 91 %, 19506 MiB
2025/08/07 01:17:52.175, 91 %, 19506 MiB
2025/08/07 01:18:52.176, 90 %, 19506 MiB
2025/08/07 01:19:52.177, 91 %, 19506 MiB
2025/08/07 01:20:52.178, 90 %, 19506 MiB
2025/08/07 01:21:52.179, 91 %, 19506 MiB
2025/08/07 01:22:52.180, 90 %, 19506 MiB
2025/08/07 01:23:52.181, 90 %, 19506 MiB
2025/08/07 01:24:52.183, 91 %, 19506 MiB
2025/08/07 01:25:52.186, 90 %, 19506 MiB
2025/08/07 01:26:52.187, 90 %, 19506 MiB
2025/08/07 01:27:52.190, 90 %, 19506 MiB
2025/08/07 01:28:52.192, 90 %, 19506 MiB
2025/08/07 01:29:52.193, 91 %, 19506 MiB
2025/08/07 01:30:52.195, 90 %, 19506 MiB
2025/08/07 01:31:52.197, 91 %, 19506 MiB
2025/08/07 01:32:52.198, 91 %, 19506 MiB
2025/08/07 01:33:52.200, 90 %, 19506 MiB
2025/08/07 01:34:52.202, 91 %, 19506 MiB
2025/08/07 01:35:52.204, 90 %, 19506 MiB
2025/08/07 01:36:52.205, 90 %, 19506 MiB
2025/08/07 01:37:52.207, 91 %, 19506 MiB
2025/08/07 01:38:52.208, 90 %, 19506 MiB
2025/08/07 01:39:52.210, 90 %, 19506 MiB
2025/08/07 01:40:52.211, 91 %, 19506 MiB
2025/08/07 01:41:52.213, 91 %, 19506 MiB
2025/08/07 01:42:52.215, 91 %, 19506 MiB
