==== New Run:
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/23 08:24:26.342, 100 %, 0 MiB
2025/07/23 08:25:26.346, 0 %, 25675 MiB
2025/07/23 08:26:26.347, 0 %, 25675 MiB
2025/07/23 08:27:26.349, 0 %, 25675 MiB
2025/07/23 08:28:26.350, 0 %, 25675 MiB
2025/07/23 08:29:26.351, 0 %, 25675 MiB
2025/07/23 08:30:26.352, 0 %, 25675 MiB
2025/07/23 08:31:26.353, 0 %, 25675 MiB
2025/07/23 08:32:26.354, 99 %, 31939 MiB
2025/07/23 08:33:26.355, 97 %, 31941 MiB
2025/07/23 08:34:26.356, 97 %, 31941 MiB
2025/07/23 08:35:26.357, 96 %, 31941 MiB
2025/07/23 08:36:26.358, 96 %, 31941 MiB
2025/07/23 08:37:26.359, 96 %, 31941 MiB
2025/07/23 08:38:26.360, 95 %, 31941 MiB
2025/07/23 08:39:26.361, 95 %, 31941 MiB
2025/07/23 08:40:26.362, 95 %, 31941 MiB
2025/07/23 08:41:26.364, 95 %, 31941 MiB
2025/07/23 08:42:26.365, 94 %, 31941 MiB
2025/07/23 08:43:26.367, 95 %, 31941 MiB
2025/07/23 08:44:26.368, 94 %, 31941 MiB
2025/07/23 08:45:26.370, 94 %, 31941 MiB
2025/07/23 08:46:26.371, 95 %, 31941 MiB
2025/07/23 08:47:26.372, 95 %, 31941 MiB
2025/07/23 08:48:26.373, 93 %, 32035 MiB
2025/07/23 08:49:26.375, 93 %, 32035 MiB
2025/07/23 08:50:26.376, 93 %, 32035 MiB
2025/07/23 08:51:26.378, 92 %, 32035 MiB
2025/07/23 08:52:26.379, 93 %, 32035 MiB
2025/07/23 08:53:26.381, 92 %, 32035 MiB
2025/07/23 08:54:26.383, 92 %, 32035 MiB
2025/07/23 08:55:26.384, 92 %, 32035 MiB
2025/07/23 08:56:26.385, 92 %, 32035 MiB
2025/07/23 08:57:26.387, 92 %, 32035 MiB
2025/07/23 08:58:26.388, 92 %, 32035 MiB
2025/07/23 08:59:26.390, 92 %, 32035 MiB
2025/07/23 09:00:26.391, 92 %, 32035 MiB
2025/07/23 09:01:26.392, 92 %, 32035 MiB
2025/07/23 09:02:26.394, 92 %, 32035 MiB
2025/07/23 09:03:26.396, 92 %, 32035 MiB
2025/07/23 09:04:26.397, 91 %, 32035 MiB
2025/07/23 09:05:26.398, 91 %, 32035 MiB
2025/07/23 09:06:26.400, 89 %, 32035 MiB
2025/07/23 09:07:26.402, 90 %, 32035 MiB
