==== New Run:
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/21 16:03:56.872, 0 %, 0 MiB
2025/07/21 16:04:56.874, 0 %, 13361 MiB
2025/07/21 16:05:56.876, 0 %, 13361 MiB
2025/07/21 16:06:56.877, 0 %, 13361 MiB
2025/07/21 16:07:56.878, 0 %, 13361 MiB
2025/07/21 16:08:56.879, 0 %, 13361 MiB
2025/07/21 16:09:56.881, 0 %, 13361 MiB
2025/07/21 16:10:56.882, 0 %, 13361 MiB
2025/07/21 16:11:56.884, 100 %, 29445 MiB
2025/07/21 16:12:56.885, 99 %, 29447 MiB
2025/07/21 16:13:56.887, 98 %, 29447 MiB
2025/07/21 16:14:56.888, 98 %, 29447 MiB
2025/07/21 16:15:56.889, 98 %, 29447 MiB
2025/07/21 16:16:56.891, 98 %, 29447 MiB
2025/07/21 16:17:56.893, 97 %, 29447 MiB
2025/07/21 16:18:56.893, 97 %, 29447 MiB
2025/07/21 16:19:56.895, 97 %, 29447 MiB
2025/07/21 16:20:56.897, 97 %, 29447 MiB
2025/07/21 16:21:56.899, 97 %, 29447 MiB
2025/07/21 16:22:56.900, 96 %, 29447 MiB
2025/07/21 16:23:56.901, 96 %, 29447 MiB
2025/07/21 16:24:56.903, 96 %, 29447 MiB
2025/07/21 16:25:56.904, 96 %, 29447 MiB
2025/07/21 16:26:56.905, 94 %, 29447 MiB
2025/07/21 16:27:56.906, 94 %, 29447 MiB
2025/07/21 16:28:56.908, 90 %, 29515 MiB
2025/07/21 16:29:56.908, 88 %, 14473 MiB
2025/07/21 16:30:56.910, 93 %, 15271 MiB
2025/07/21 16:31:56.911, 94 %, 15271 MiB
2025/07/21 16:32:56.913, 88 %, 15271 MiB
2025/07/21 16:33:56.914, 89 %, 15271 MiB
2025/07/21 16:34:56.916, 89 %, 15271 MiB
2025/07/21 16:35:56.918, 88 %, 15271 MiB
2025/07/21 16:36:56.919, 88 %, 15271 MiB
2025/07/21 16:37:56.920, 88 %, 15271 MiB
2025/07/21 16:38:56.921, 88 %, 15271 MiB
2025/07/21 16:39:56.922, 89 %, 15343 MiB
2025/07/21 16:40:56.923, 88 %, 15343 MiB
2025/07/21 16:41:56.924, 83 %, 15343 MiB
2025/07/21 16:42:56.925, 87 %, 15363 MiB
2025/07/21 16:43:56.926, 89 %, 15363 MiB
2025/07/21 16:44:56.927, 88 %, 15363 MiB
2025/07/21 16:45:56.930, 88 %, 15363 MiB
2025/07/21 16:46:56.931, 88 %, 15363 MiB
2025/07/21 16:47:56.932, 87 %, 15363 MiB
2025/07/21 16:48:56.933, 89 %, 15363 MiB
2025/07/21 16:49:56.934, 88 %, 15363 MiB
2025/07/21 16:50:56.936, 88 %, 15365 MiB
2025/07/21 16:51:56.937, 88 %, 15365 MiB
2025/07/21 16:52:56.938, 89 %, 15365 MiB
2025/07/21 16:53:56.939, 88 %, 15365 MiB
2025/07/21 16:54:56.940, 89 %, 15365 MiB
2025/07/21 16:55:56.942, 89 %, 15365 MiB
2025/07/21 16:56:56.944, 88 %, 15365 MiB
2025/07/21 16:57:56.945, 88 %, 15365 MiB
2025/07/21 16:58:56.946, 88 %, 15365 MiB
2025/07/21 16:59:56.947, 87 %, 15365 MiB
2025/07/21 17:00:56.949, 88 %, 15365 MiB
2025/07/21 17:01:56.950, 89 %, 15365 MiB
2025/07/21 17:02:56.951, 89 %, 15365 MiB
2025/07/21 17:03:56.953, 88 %, 15365 MiB
2025/07/21 17:04:56.954, 88 %, 15365 MiB
