==== New Run:
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/21 03:44:25.123, 77 %, 0 MiB
2025/07/21 03:45:25.131, 0 %, 15825 MiB
2025/07/21 03:46:25.132, 0 %, 15825 MiB
2025/07/21 03:47:25.133, 0 %, 15825 MiB
2025/07/21 03:48:25.134, 0 %, 15825 MiB
2025/07/21 03:49:25.135, 0 %, 15825 MiB
2025/07/21 03:50:25.136, 0 %, 15825 MiB
2025/07/21 03:51:25.138, 0 %, 15825 MiB
2025/07/21 03:52:25.138, 0 %, 28915 MiB
2025/07/21 03:53:25.140, 97 %, 28561 MiB
2025/07/21 03:54:25.141, 97 %, 28561 MiB
2025/07/21 03:55:25.142, 97 %, 28561 MiB
2025/07/21 03:56:25.144, 95 %, 28561 MiB
2025/07/21 03:57:25.145, 95 %, 28561 MiB
2025/07/21 03:58:25.146, 94 %, 28561 MiB
2025/07/21 03:59:25.148, 94 %, 28561 MiB
2025/07/21 04:00:25.149, 94 %, 28561 MiB
2025/07/21 04:01:25.150, 94 %, 28561 MiB
2025/07/21 04:02:25.152, 95 %, 28561 MiB
2025/07/21 04:03:25.153, 93 %, 28561 MiB
2025/07/21 04:04:25.154, 93 %, 28561 MiB
2025/07/21 04:05:25.156, 94 %, 28561 MiB
2025/07/21 04:06:25.159, 94 %, 28561 MiB
2025/07/21 04:07:25.161, 93 %, 28561 MiB
2025/07/21 04:08:25.164, 93 %, 28561 MiB
2025/07/21 04:09:25.167, 93 %, 28561 MiB
2025/07/21 04:10:25.169, 93 %, 28561 MiB
2025/07/21 04:11:25.171, 91 %, 28561 MiB
2025/07/21 04:12:25.174, 91 %, 28561 MiB
2025/07/21 04:13:25.176, 91 %, 28561 MiB
2025/07/21 04:14:25.178, 91 %, 28561 MiB
2025/07/21 04:15:25.180, 91 %, 28561 MiB
2025/07/21 04:16:25.182, 90 %, 28561 MiB
2025/07/21 04:17:25.184, 91 %, 28561 MiB
2025/07/21 04:18:25.186, 90 %, 28561 MiB
2025/07/21 04:19:25.188, 91 %, 28561 MiB
2025/07/21 04:20:25.190, 90 %, 28561 MiB
2025/07/21 04:21:25.192, 90 %, 28561 MiB
2025/07/21 04:22:25.193, 90 %, 28561 MiB
2025/07/21 04:23:25.195, 90 %, 28561 MiB
2025/07/21 04:24:25.197, 92 %, 28561 MiB
2025/07/21 04:25:25.198, 90 %, 28561 MiB
2025/07/21 04:26:25.199, 90 %, 28561 MiB
2025/07/21 04:27:25.200, 90 %, 28561 MiB
2025/07/21 04:28:25.202, 89 %, 16045 MiB
2025/07/21 04:29:25.203, 89 %, 16045 MiB
2025/07/21 04:30:25.204, 89 %, 16045 MiB
2025/07/21 04:31:25.205, 89 %, 16045 MiB
2025/07/21 04:32:25.206, 89 %, 16045 MiB
2025/07/21 04:33:25.207, 89 %, 16045 MiB
2025/07/21 04:34:25.209, 89 %, 16045 MiB
2025/07/21 04:35:25.210, 87 %, 16045 MiB
2025/07/21 04:36:25.211, 88 %, 16045 MiB
2025/07/21 04:37:25.212, 87 %, 16045 MiB
2025/07/21 04:38:25.213, 88 %, 16045 MiB
2025/07/21 04:39:25.215, 88 %, 16045 MiB
2025/07/21 04:40:25.215, 88 %, 16045 MiB
2025/07/21 04:41:25.216, 87 %, 16045 MiB
2025/07/21 04:42:25.217, 88 %, 16045 MiB
2025/07/21 04:43:25.218, 87 %, 16045 MiB
2025/07/21 04:44:25.219, 88 %, 16045 MiB
2025/07/21 04:45:25.221, 88 %, 16045 MiB
2025/07/21 04:46:25.222, 89 %, 16045 MiB
2025/07/21 04:47:25.223, 88 %, 16045 MiB
2025/07/21 04:48:25.224, 88 %, 16045 MiB
