timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/26 19:40:41.619, 0 %, 0 MiB
==== New Run: Sat Jul 26 21:30:31 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/26 21:30:31.239, 0 %, 0 MiB
==== New Run: Sat Jul 26 21:31:25 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/26 21:31:25.167, 0 %, 0 MiB
==== New Run: Mon Aug  4 00:09:26 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/04 00:09:26.109, 0 %, 130 MiB
2025/08/04 00:10:26.111, 0 %, 15954 MiB
2025/08/04 00:11:26.113, 0 %, 15954 MiB
2025/08/04 00:12:26.114, 0 %, 15954 MiB
2025/08/04 00:13:26.116, 0 %, 15954 MiB
2025/08/04 00:14:26.117, 99 %, 24552 MiB
2025/08/04 00:15:26.118, 96 %, 24616 MiB
2025/08/04 00:16:26.120, 96 %, 24616 MiB
2025/08/04 00:17:26.121, 96 %, 24616 MiB
2025/08/04 00:18:26.122, 95 %, 24616 MiB
2025/08/04 00:19:26.124, 95 %, 24616 MiB
2025/08/04 00:20:26.125, 95 %, 24616 MiB
2025/08/04 00:21:26.126, 95 %, 24616 MiB
2025/08/04 00:22:26.127, 95 %, 24616 MiB
2025/08/04 00:23:26.129, 95 %, 24616 MiB
2025/08/04 00:24:26.130, 95 %, 24616 MiB
2025/08/04 00:25:26.131, 95 %, 24616 MiB
2025/08/04 00:26:26.132, 94 %, 24616 MiB
2025/08/04 00:27:26.134, 94 %, 24616 MiB
2025/08/04 00:28:26.135, 95 %, 24616 MiB
2025/08/04 00:29:26.136, 94 %, 24616 MiB
2025/08/04 00:30:26.138, 94 %, 24616 MiB
2025/08/04 00:31:26.139, 94 %, 24616 MiB
2025/08/04 00:32:26.141, 94 %, 24616 MiB
2025/08/04 00:33:26.142, 94 %, 24616 MiB
2025/08/04 00:34:26.143, 94 %, 24616 MiB
2025/08/04 00:35:26.145, 93 %, 24616 MiB
2025/08/04 00:36:26.146, 92 %, 24616 MiB
2025/08/04 00:37:26.147, 92 %, 24616 MiB
2025/08/04 00:38:26.149, 92 %, 24616 MiB
2025/08/04 00:39:26.150, 92 %, 24616 MiB
2025/08/04 00:40:26.151, 92 %, 24616 MiB
2025/08/04 00:41:26.153, 92 %, 24616 MiB
2025/08/04 00:42:26.154, 92 %, 24616 MiB
2025/08/04 00:43:26.156, 92 %, 24616 MiB
2025/08/04 00:44:26.157, 92 %, 24616 MiB
2025/08/04 00:45:26.158, 93 %, 24616 MiB
2025/08/04 00:46:26.160, 92 %, 24616 MiB
2025/08/04 00:47:26.161, 92 %, 24616 MiB
2025/08/04 00:48:26.162, 92 %, 24616 MiB
2025/08/04 00:49:26.164, 92 %, 24616 MiB
2025/08/04 00:50:26.165, 90 %, 24616 MiB
2025/08/04 00:51:26.166, 90 %, 24616 MiB
2025/08/04 00:52:26.168, 91 %, 24616 MiB
2025/08/04 00:53:26.169, 92 %, 24616 MiB
2025/08/04 00:54:26.170, 92 %, 24616 MiB
2025/08/04 00:55:26.172, 92 %, 24646 MiB
2025/08/04 00:56:26.173, 91 %, 24646 MiB
2025/08/04 00:57:26.174, 86 %, 24646 MiB
2025/08/04 00:58:26.175, 91 %, 24646 MiB
2025/08/04 00:59:26.176, 91 %, 24646 MiB
2025/08/04 01:00:26.177, 91 %, 24646 MiB
2025/08/04 01:01:26.178, 91 %, 24646 MiB
2025/08/04 01:02:26.179, 93 %, 24646 MiB
2025/08/04 01:03:26.180, 91 %, 24646 MiB
2025/08/04 01:04:26.182, 91 %, 24646 MiB
2025/08/04 01:05:26.183, 91 %, 24646 MiB
2025/08/04 01:06:26.184, 91 %, 24646 MiB
2025/08/04 01:07:26.185, 87 %, 24646 MiB
2025/08/04 01:08:26.187, 91 %, 24646 MiB
