==== New Run:
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/22 09:56:00.917, 0 %, 0 MiB
2025/07/22 09:57:00.925, 0 %, 15805 MiB
2025/07/22 09:58:00.927, 0 %, 15805 MiB
2025/07/22 09:59:00.929, 0 %, 15805 MiB
2025/07/22 10:00:00.931, 0 %, 15805 MiB
2025/07/22 10:01:00.933, 0 %, 15805 MiB
2025/07/22 10:02:00.935, 0 %, 15805 MiB
2025/07/22 10:03:00.937, 0 %, 15805 MiB
2025/07/22 10:04:00.938, 100 %, 29209 MiB
2025/07/22 10:05:00.940, 97 %, 29283 MiB
2025/07/22 10:06:00.941, 96 %, 29283 MiB
2025/07/22 10:07:00.942, 96 %, 29283 MiB
2025/07/22 10:08:00.943, 95 %, 29283 MiB
2025/07/22 10:09:00.944, 95 %, 29283 MiB
2025/07/22 10:10:00.946, 94 %, 29283 MiB
2025/07/22 10:11:00.947, 95 %, 29283 MiB
2025/07/22 10:12:00.948, 94 %, 29283 MiB
2025/07/22 10:13:00.949, 94 %, 29283 MiB
2025/07/22 10:14:00.951, 94 %, 29283 MiB
2025/07/22 10:15:00.952, 94 %, 29283 MiB
2025/07/22 10:16:00.953, 92 %, 29283 MiB
2025/07/22 10:17:00.954, 93 %, 29283 MiB
2025/07/22 10:18:00.955, 93 %, 29283 MiB
2025/07/22 10:19:00.956, 93 %, 29283 MiB
2025/07/22 10:20:00.957, 93 %, 29283 MiB
2025/07/22 10:21:00.958, 92 %, 29283 MiB
2025/07/22 10:22:00.959, 92 %, 29283 MiB
2025/07/22 10:23:00.960, 92 %, 29283 MiB
2025/07/22 10:24:00.962, 91 %, 29283 MiB
2025/07/22 10:25:00.963, 91 %, 29283 MiB
2025/07/22 10:26:00.964, 91 %, 29283 MiB
2025/07/22 10:27:00.965, 91 %, 29283 MiB
2025/07/22 10:28:00.966, 91 %, 29283 MiB
2025/07/22 10:29:00.967, 91 %, 29283 MiB
2025/07/22 10:30:00.968, 90 %, 29283 MiB
2025/07/22 10:31:00.970, 90 %, 29283 MiB
2025/07/22 10:32:00.971, 90 %, 29283 MiB
2025/07/22 10:33:00.972, 90 %, 29283 MiB
2025/07/22 10:34:00.974, 90 %, 29283 MiB
2025/07/22 10:35:00.975, 90 %, 29283 MiB
2025/07/22 10:36:00.977, 90 %, 29283 MiB
2025/07/22 10:37:00.978, 90 %, 29283 MiB
2025/07/22 10:38:00.979, 89 %, 29283 MiB
