==== New Run: Sat Jul 26 21:30:31 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/26 21:30:31.267, 0 %, 0 MiB
==== New Run: Sat Jul 26 21:31:25 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/07/26 21:31:25.194, 0 %, 0 MiB
==== New Run: Mon Aug  4 01:35:26 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/04 01:35:26.883, 0 %, 130 MiB
==== New Run: Mon Aug  4 11:11:43 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/04 11:11:43.242, 0 %, 130 MiB
==== New Run: Mon Aug  4 11:14:33 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/04 11:14:33.351, 0 %, 130 MiB
2025/08/04 11:15:33.369, 0 %, 14462 MiB
==== New Run: Tue Aug  5 12:44:21 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/05 12:44:22.014, 0 %, 130 MiB
==== New Run: Tue Aug  5 12:55:56 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/05 12:55:56.014, 0 %, 130 MiB
==== New Run: Wed Aug  6 07:54:10 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/06 07:54:10.981, 45 %, 130 MiB
2025/08/06 07:55:10.987, 0 %, 14462 MiB
2025/08/06 07:56:10.990, 0 %, 14462 MiB
2025/08/06 07:57:10.992, 0 %, 14462 MiB
2025/08/06 07:58:10.995, 0 %, 14462 MiB
2025/08/06 07:59:10.996, 100 %, 20838 MiB
2025/08/06 08:00:10.997, 97 %, 20906 MiB
2025/08/06 08:01:10.999, 96 %, 20906 MiB
2025/08/06 08:02:11.001, 96 %, 20906 MiB
2025/08/06 08:03:11.003, 96 %, 20906 MiB
2025/08/06 08:04:11.004, 95 %, 20906 MiB
2025/08/06 08:05:11.006, 95 %, 20906 MiB
2025/08/06 08:06:11.007, 95 %, 20906 MiB
2025/08/06 08:07:11.009, 95 %, 20906 MiB
2025/08/06 08:08:11.011, 95 %, 20906 MiB
2025/08/06 08:09:11.013, 95 %, 20906 MiB
2025/08/06 08:10:11.015, 95 %, 20906 MiB
2025/08/06 08:11:11.017, 95 %, 20906 MiB
2025/08/06 08:12:11.018, 94 %, 20906 MiB
2025/08/06 08:13:11.020, 94 %, 20906 MiB
2025/08/06 08:14:11.022, 94 %, 20906 MiB
2025/08/06 08:15:11.023, 95 %, 20906 MiB
2025/08/06 08:16:11.025, 94 %, 20906 MiB
2025/08/06 08:17:11.027, 94 %, 20906 MiB
2025/08/06 08:18:11.029, 95 %, 20906 MiB
2025/08/06 08:19:11.030, 95 %, 20906 MiB
2025/08/06 08:20:11.031, 94 %, 20906 MiB
2025/08/06 08:21:11.031, 94 %, 20906 MiB
2025/08/06 08:22:11.034, 94 %, 20906 MiB
2025/08/06 08:23:11.034, 94 %, 20906 MiB
2025/08/06 08:24:11.035, 92 %, 20906 MiB
2025/08/06 08:25:11.036, 92 %, 20906 MiB
2025/08/06 08:26:11.037, 92 %, 20906 MiB
2025/08/06 08:27:11.038, 92 %, 20906 MiB
2025/08/06 08:28:11.038, 92 %, 20906 MiB
2025/08/06 08:29:11.039, 92 %, 20906 MiB
2025/08/06 08:30:11.040, 92 %, 20906 MiB
2025/08/06 08:31:11.040, 92 %, 20906 MiB
2025/08/06 08:32:11.041, 92 %, 20906 MiB
2025/08/06 08:33:11.042, 92 %, 20906 MiB
2025/08/06 08:34:11.044, 92 %, 20906 MiB
2025/08/06 08:35:11.044, 92 %, 20906 MiB
2025/08/06 08:36:11.046, 92 %, 20906 MiB
2025/08/06 08:37:11.048, 90 %, 20906 MiB
2025/08/06 08:38:11.050, 89 %, 20906 MiB
2025/08/06 08:39:11.051, 91 %, 20906 MiB
2025/08/06 08:40:11.053, 90 %, 20906 MiB
2025/08/06 08:41:11.055, 90 %, 20906 MiB
2025/08/06 08:42:11.057, 85 %, 20934 MiB
2025/08/06 08:43:11.058, 89 %, 20934 MiB
2025/08/06 08:44:11.060, 90 %, 20934 MiB
2025/08/06 08:45:11.061, 87 %, 20934 MiB
2025/08/06 08:46:11.063, 90 %, 20934 MiB
2025/08/06 08:47:11.064, 90 %, 20934 MiB
2025/08/06 08:48:11.065, 90 %, 20934 MiB
2025/08/06 08:49:11.067, 89 %, 20934 MiB
2025/08/06 08:50:11.068, 89 %, 20934 MiB
2025/08/06 08:51:11.070, 89 %, 20934 MiB
2025/08/06 08:52:11.071, 90 %, 20934 MiB
2025/08/06 08:53:11.073, 89 %, 20934 MiB
2025/08/06 08:54:11.074, 89 %, 20934 MiB
2025/08/06 08:55:11.075, 89 %, 20934 MiB
2025/08/06 08:56:11.076, 90 %, 20934 MiB
2025/08/06 08:57:11.078, 90 %, 20934 MiB
2025/08/06 08:58:11.079, 89 %, 20934 MiB
2025/08/06 08:59:11.080, 89 %, 20934 MiB
2025/08/06 09:00:11.081, 89 %, 20934 MiB
2025/08/06 09:01:11.081, 90 %, 20934 MiB
2025/08/06 09:02:11.083, 89 %, 20934 MiB
2025/08/06 09:03:11.084, 90 %, 20934 MiB
2025/08/06 09:04:11.085, 89 %, 20934 MiB
2025/08/06 09:05:11.086, 90 %, 20934 MiB
2025/08/06 09:06:11.088, 89 %, 20934 MiB
2025/08/06 09:07:11.089, 90 %, 20934 MiB
2025/08/06 09:08:11.090, 90 %, 20934 MiB
2025/08/06 09:09:11.091, 89 %, 20934 MiB
2025/08/06 09:10:11.093, 90 %, 20934 MiB
2025/08/06 09:11:11.094, 89 %, 20934 MiB
2025/08/06 09:12:11.095, 90 %, 20934 MiB
2025/08/06 09:13:11.096, 89 %, 20934 MiB
2025/08/06 09:14:11.097, 90 %, 20934 MiB
2025/08/06 09:15:11.099, 90 %, 20934 MiB
2025/08/06 09:16:11.100, 89 %, 20934 MiB
2025/08/06 09:17:11.101, 90 %, 20934 MiB
2025/08/06 09:18:11.103, 89 %, 20934 MiB
2025/08/06 09:19:11.104, 90 %, 20934 MiB
2025/08/06 09:20:11.105, 89 %, 20934 MiB
2025/08/06 09:21:11.107, 90 %, 20934 MiB
2025/08/06 09:22:11.108, 89 %, 20934 MiB
2025/08/06 09:23:11.109, 89 %, 20934 MiB
2025/08/06 09:24:11.111, 89 %, 20934 MiB
2025/08/06 09:25:11.112, 90 %, 20934 MiB
2025/08/06 09:26:11.113, 90 %, 20934 MiB
2025/08/06 09:27:11.115, 89 %, 20934 MiB
2025/08/06 09:28:11.116, 89 %, 20934 MiB
2025/08/06 09:29:11.116, 89 %, 20934 MiB
2025/08/06 09:30:11.116, 90 %, 20934 MiB
2025/08/06 09:31:11.117, 90 %, 20934 MiB
2025/08/06 09:32:11.117, 89 %, 20934 MiB
2025/08/06 09:33:11.118, 89 %, 20934 MiB
2025/08/06 09:34:11.119, 89 %, 20934 MiB
2025/08/06 09:35:11.119, 90 %, 20934 MiB
2025/08/06 09:36:11.119, 89 %, 20934 MiB
2025/08/06 09:37:11.121, 89 %, 20934 MiB
2025/08/06 09:38:11.122, 90 %, 20934 MiB
2025/08/06 09:39:11.122, 89 %, 20934 MiB
2025/08/06 09:40:11.123, 89 %, 20934 MiB
2025/08/06 09:41:11.124, 90 %, 20934 MiB
2025/08/06 09:42:11.125, 89 %, 20934 MiB
2025/08/06 09:43:11.126, 90 %, 20934 MiB
2025/08/06 09:44:11.127, 89 %, 20934 MiB
2025/08/06 09:45:11.129, 90 %, 20934 MiB
2025/08/06 09:46:11.130, 89 %, 20934 MiB
2025/08/06 09:47:11.132, 89 %, 20934 MiB
2025/08/06 09:48:11.133, 89 %, 20934 MiB
2025/08/06 09:49:11.134, 90 %, 20934 MiB
2025/08/06 09:50:11.135, 89 %, 20934 MiB
2025/08/06 09:51:11.136, 89 %, 20934 MiB
2025/08/06 09:52:11.137, 90 %, 20934 MiB
2025/08/06 09:53:11.139, 89 %, 20934 MiB
2025/08/06 09:54:11.140, 89 %, 20934 MiB
2025/08/06 09:55:11.141, 89 %, 20934 MiB
2025/08/06 09:56:11.142, 89 %, 20934 MiB
2025/08/06 09:57:11.143, 90 %, 20936 MiB
2025/08/06 09:58:11.145, 88 %, 20936 MiB
2025/08/06 09:59:11.146, 89 %, 20936 MiB
2025/08/06 10:00:11.148, 90 %, 20936 MiB
2025/08/06 10:01:11.149, 89 %, 20936 MiB
2025/08/06 10:02:11.150, 100 %, 20936 MiB
2025/08/06 10:03:11.153, 88 %, 20936 MiB
2025/08/06 10:04:11.155, 88 %, 20936 MiB
2025/08/06 10:05:11.157, 88 %, 20936 MiB
2025/08/06 10:06:11.160, 91 %, 20936 MiB
2025/08/06 10:07:11.163, 88 %, 20936 MiB
2025/08/06 10:08:11.165, 89 %, 20936 MiB
2025/08/06 10:09:11.167, 87 %, 20936 MiB
2025/08/06 10:10:11.169, 88 %, 20936 MiB
2025/08/06 10:11:11.171, 87 %, 20936 MiB
2025/08/06 10:12:11.173, 88 %, 20936 MiB
2025/08/06 10:13:11.175, 91 %, 20936 MiB
2025/08/06 10:14:11.177, 100 %, 20936 MiB
2025/08/06 10:15:11.179, 88 %, 20936 MiB
2025/08/06 10:16:11.180, 100 %, 20936 MiB
2025/08/06 10:17:11.182, 90 %, 20936 MiB
2025/08/06 10:18:11.183, 87 %, 20936 MiB
2025/08/06 10:19:11.185, 94 %, 20936 MiB
2025/08/06 10:20:11.187, 100 %, 20936 MiB
2025/08/06 10:21:11.188, 90 %, 20936 MiB
2025/08/06 10:22:11.190, 90 %, 20936 MiB
2025/08/06 10:23:11.191, 90 %, 20936 MiB
2025/08/06 10:24:11.193, 88 %, 20936 MiB
2025/08/06 10:25:11.195, 87 %, 20936 MiB
2025/08/06 10:26:11.197, 95 %, 27314 MiB
2025/08/06 10:27:11.199, 90 %, 27314 MiB
2025/08/06 10:28:11.200, 86 %, 27314 MiB
2025/08/06 10:29:11.202, 87 %, 27314 MiB
2025/08/06 10:30:11.203, 85 %, 27314 MiB
2025/08/06 10:31:11.205, 90 %, 27314 MiB
2025/08/06 10:32:11.206, 90 %, 27314 MiB
2025/08/06 10:33:11.207, 90 %, 27314 MiB
2025/08/06 10:34:11.209, 90 %, 27314 MiB
2025/08/06 10:35:11.210, 90 %, 27314 MiB
2025/08/06 10:36:11.211, 90 %, 27314 MiB
2025/08/06 10:37:11.211, 85 %, 27314 MiB
2025/08/06 10:38:11.210, 90 %, 27314 MiB
2025/08/06 10:39:11.210, 86 %, 27314 MiB
2025/08/06 10:40:11.210, 85 %, 27316 MiB
2025/08/06 10:41:11.210, 90 %, 27316 MiB
2025/08/06 10:42:11.210, 85 %, 27316 MiB
2025/08/06 10:43:11.211, 95 %, 27316 MiB
2025/08/06 10:44:11.211, 88 %, 27316 MiB
2025/08/06 10:45:11.212, 86 %, 27316 MiB
2025/08/06 10:46:11.213, 86 %, 27316 MiB
2025/08/06 10:47:11.214, 87 %, 27316 MiB
2025/08/06 10:48:11.215, 90 %, 27316 MiB
2025/08/06 10:49:11.216, 88 %, 27316 MiB
2025/08/06 10:50:11.217, 91 %, 27316 MiB
2025/08/06 10:51:11.218, 86 %, 27316 MiB
2025/08/06 10:52:11.219, 87 %, 27316 MiB
2025/08/06 10:53:11.220, 91 %, 27316 MiB
2025/08/06 10:54:11.221, 86 %, 27316 MiB
2025/08/06 10:55:11.222, 90 %, 27316 MiB
2025/08/06 10:56:11.223, 86 %, 27316 MiB
2025/08/06 10:57:11.224, 87 %, 27316 MiB
2025/08/06 10:58:11.226, 90 %, 27316 MiB
2025/08/06 10:59:11.227, 90 %, 27316 MiB
2025/08/06 11:00:11.228, 90 %, 27316 MiB
2025/08/06 11:01:11.228, 91 %, 27316 MiB
2025/08/06 11:02:11.229, 90 %, 27316 MiB
2025/08/06 11:03:11.230, 90 %, 27316 MiB
2025/08/06 11:04:11.230, 87 %, 27316 MiB
2025/08/06 11:05:11.231, 90 %, 27316 MiB
2025/08/06 11:06:11.232, 90 %, 27316 MiB
2025/08/06 11:07:11.233, 90 %, 27316 MiB
2025/08/06 11:08:11.235, 90 %, 27316 MiB
2025/08/06 11:09:11.236, 86 %, 27316 MiB
