==== New Run: Wed Aug  6 16:48:08 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/06 16:48:08.049, 0 %, 130 MiB
==== New Run: Fri Aug  8 01:15:35 KST 2025 ====
timestamp, utilization.gpu [%], memory.used [MiB]
2025/08/08 01:15:35.379, 0 %, 130 MiB
2025/08/08 01:16:35.382, 0 %, 15954 MiB
2025/08/08 01:17:35.383, 0 %, 15954 MiB
2025/08/08 01:18:35.385, 0 %, 15954 MiB
2025/08/08 01:19:35.387, 0 %, 15954 MiB
2025/08/08 01:20:35.389, 100 %, 24548 MiB
2025/08/08 01:21:35.390, 97 %, 24616 MiB
2025/08/08 01:22:35.391, 96 %, 24616 MiB
2025/08/08 01:23:35.393, 96 %, 24616 MiB
2025/08/08 01:24:35.394, 95 %, 24616 MiB
2025/08/08 01:25:35.400, 95 %, 24616 MiB
2025/08/08 01:26:35.401, 95 %, 24616 MiB
2025/08/08 01:27:35.403, 95 %, 24616 MiB
2025/08/08 01:28:35.405, 95 %, 24616 MiB
2025/08/08 01:29:35.406, 95 %, 24616 MiB
2025/08/08 01:30:35.408, 95 %, 24616 MiB
2025/08/08 01:31:35.409, 95 %, 24616 MiB
2025/08/08 01:32:35.410, 95 %, 24616 MiB
2025/08/08 01:33:35.412, 94 %, 24616 MiB
2025/08/08 01:34:35.413, 95 %, 24616 MiB
2025/08/08 01:35:35.415, 95 %, 24616 MiB
2025/08/08 01:36:35.417, 94 %, 24616 MiB
2025/08/08 01:37:35.418, 95 %, 24616 MiB
2025/08/08 01:38:35.420, 94 %, 24616 MiB
2025/08/08 01:39:35.421, 95 %, 24616 MiB
2025/08/08 01:40:35.422, 94 %, 24616 MiB
2025/08/08 01:41:35.424, 93 %, 24616 MiB
2025/08/08 01:42:35.425, 92 %, 24616 MiB
2025/08/08 01:43:35.427, 92 %, 24616 MiB
2025/08/08 01:44:35.427, 92 %, 24616 MiB
2025/08/08 01:45:35.429, 92 %, 24616 MiB
2025/08/08 01:46:35.430, 92 %, 24616 MiB
2025/08/08 01:47:35.432, 92 %, 24616 MiB
2025/08/08 01:48:35.433, 92 %, 24616 MiB
2025/08/08 01:49:35.435, 92 %, 24616 MiB
2025/08/08 01:50:35.436, 92 %, 24616 MiB
2025/08/08 01:51:35.438, 92 %, 24616 MiB
2025/08/08 01:52:35.439, 92 %, 24616 MiB
2025/08/08 01:53:35.441, 92 %, 24616 MiB
2025/08/08 01:54:35.442, 92 %, 24616 MiB
2025/08/08 01:55:35.444, 92 %, 24616 MiB
2025/08/08 01:56:35.446, 90 %, 24616 MiB
2025/08/08 01:57:35.447, 90 %, 24616 MiB
2025/08/08 01:58:35.449, 90 %, 24616 MiB
2025/08/08 01:59:35.451, 90 %, 24616 MiB
2025/08/08 02:00:35.452, 90 %, 24646 MiB
2025/08/08 02:01:35.454, 90 %, 24646 MiB
2025/08/08 02:02:35.455, 91 %, 24646 MiB
2025/08/08 02:03:35.456, 90 %, 24646 MiB
2025/08/08 02:04:35.458, 91 %, 24646 MiB
2025/08/08 02:05:35.459, 85 %, 24646 MiB
2025/08/08 02:06:35.461, 90 %, 24646 MiB
2025/08/08 02:07:35.462, 90 %, 24646 MiB
2025/08/08 02:08:35.463, 90 %, 24646 MiB
2025/08/08 02:09:35.464, 91 %, 24646 MiB
2025/08/08 02:10:35.466, 90 %, 24646 MiB
2025/08/08 02:11:35.467, 90 %, 24646 MiB
2025/08/08 02:12:35.468, 90 %, 24646 MiB
2025/08/08 02:13:35.470, 90 %, 24646 MiB
2025/08/08 02:14:35.471, 90 %, 24646 MiB
2025/08/08 02:15:35.472, 90 %, 24646 MiB
2025/08/08 02:16:35.474, 90 %, 24646 MiB
2025/08/08 02:17:35.475, 90 %, 24646 MiB
2025/08/08 02:18:35.476, 90 %, 24646 MiB
2025/08/08 02:19:35.478, 90 %, 24646 MiB
2025/08/08 02:20:35.479, 90 %, 24646 MiB
2025/08/08 02:21:35.480, 90 %, 24646 MiB
2025/08/08 02:22:35.482, 90 %, 24646 MiB
2025/08/08 02:23:35.483, 90 %, 24646 MiB
2025/08/08 02:24:35.485, 90 %, 24646 MiB
2025/08/08 02:25:35.486, 90 %, 24646 MiB
2025/08/08 02:26:35.487, 90 %, 24646 MiB
2025/08/08 02:27:35.488, 90 %, 24646 MiB
2025/08/08 02:28:35.489, 90 %, 24646 MiB
2025/08/08 02:29:35.490, 90 %, 24646 MiB
